
========================================================================================
  EPL (Premier League)   OOS: 218 matches
  Profitable: 255 | Losing: 1603 | Baseline rows: 14
========================================================================================

  BASELINE (no filters) per odds range:
  Label                                                   n     WR  Odds    ROI%    EV%
  ------------------------------------------------------------------------------------
  away[1.3,1.55)                                          7  57.1%  1.46  -14.9% -16.6% ❌
  away[1.55,1.8)                                         20  55.0%  1.65  -10.1%  -9.2% ❌
  away[1.7,2.0)                                          16  43.8%  1.82  -20.5% -20.5% ❌
  away[1.8,2.2)                                          27  40.7%  1.99  -19.3% -19.1% ❌
  away[2.0,2.5)                                          30  40.0%  2.19  -12.2% -12.3% ❌
  away[2.2,2.8)                                          32  37.5%  2.49   -8.7%  -6.6% ❌
  away[2.5,3.5)                                          50  42.0%  2.93  +23.5% +23.1% ✅
  home[1.3,1.55)                                         32  62.5%  1.44  -10.9%  -9.9% ❌
  home[1.55,1.8)                                         26  50.0%  1.66  -16.7% -16.9% ❌
  home[1.7,2.0)                                          34  47.1%  1.81  -14.4% -14.8% ❌
  home[1.8,2.2)                                          36  44.4%  1.95  -12.1% -13.2% ❌
  home[2.0,2.5)                                          38  39.5%  2.21  -13.6% -12.9% ❌
  home[2.2,2.8)                                          44  34.1%  2.45  -17.4% -16.5% ❌
  home[2.5,3.5)                                          44  27.3%  2.87  -23.9% -21.7% ❌

  TOP-30 PROFITABLE (all filters, sorted by ROI):
  Label                                                   n     WR  Odds    ROI%    EV%
  ------------------------------------------------------------------------------------
  away[2.5,3.5) xg>=1.0 elo<=-75 form>=1.8                5  60.0%  2.63  +58.0% +57.8% ★★
  away[2.5,3.5) xg>=1.0 elo<=-75 form>=1.5                5  60.0%  2.63  +58.0% +57.8% ★★
  away[2.5,3.5) xg>=1.0 elo<=-75                          5  60.0%  2.63  +58.0% +57.8% ★★
  away[2.5,3.5) elo<=-75 form>=1.8                        7  57.1%  2.61  +50.0% +49.4% ★★
  away[2.5,3.5) elo<=-75 form>=1.5                        7  57.1%  2.61  +50.0% +49.4% ★★
  away[2.5,3.5) xg>=1.0 form>=1.5                        11  54.5%  2.72  +48.2% +48.4% ★★
  away[2.2,2.8) elo<=-75 form>=1.5 mkt>=0.35             10  60.0%  2.47  +46.5% +48.2% ★★
  away[2.2,2.8) elo<=-75 form>=1.5                       10  60.0%  2.47  +46.5% +48.2% ★★
  away[2.2,2.8) xg>=1.0 elo<=-75 form>=1.5 mkt>=0.35      5  60.0%  2.51  +46.0% +50.6% ★★
  away[2.2,2.8) xg>=1.0 elo<=-75 form>=1.5                5  60.0%  2.51  +46.0% +50.6% ★★
  away[2.5,3.5) xg>=1.0                                  18  50.0%  2.80  +39.2% +39.9% ★★
  away[2.2,2.8) elo<=-75 mkt>=0.35                       14  57.1%  2.41  +37.1% +38.0% ★★
  away[2.5,3.5) elo<=-30 form>=1.8                       10  50.0%  2.72  +35.0% +36.3% ★★
  home[1.8,2.2) elo>=30 form>=1.5                         6  66.7%  1.94  +33.5% +29.6% ★★
  away[2.0,2.5) elo<=-150 form>=2.2 mkt>=0.35             5  60.0%  2.17  +32.0% +30.2% ★★
  away[2.0,2.5) elo<=-75 form>=2.2 mkt>=0.35              5  60.0%  2.17  +32.0% +30.2% ★★
  away[2.0,2.5) elo<=-75 form>=2.2                        5  60.0%  2.17  +32.0% +30.2% ★★
  away[2.0,2.5) elo<=-150 form>=2.2                       5  60.0%  2.17  +32.0% +30.2% ★★
  away[2.5,3.5) xg>=1.0 elo<=-30 form>=1.8                6  50.0%  2.62  +31.7% +30.8% ★★
  away[2.5,3.5) xg>=1.0 form>=1.8                         6  50.0%  2.62  +31.7% +30.8% ★★
  away[2.2,2.8) elo<=-75 mkt>=0.4                         7  57.1%  2.27  +30.0% +29.8% ★★
  home[1.8,2.2) xg>=1.0 form>=1.5 mkt>=0.45               6  66.7%  1.93  +29.2% +28.9% ★★
  away[2.5,3.5) elo<=-75 mkt>=0.35                        6  50.0%  2.58  +28.3% +29.2% ★★
