
===============================================================================================================================================================================
  EPL (Premier League)
===============================================================================================================================================================================
  Filter                                                  n_tot  AvgROI%  AvgWR%   Win%   W/T  2023-08         2023-11         2024-02         2024-05         2024-08         2024-11         2025-02         2025-05         2025-08         2025-11         2026-02       
  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------

  ── ★ СТАБІЛЬНО ПРИБУТКОВІ (avg>0, win%>=60%)  (355) ──
  Filter                                                  n_tot  AvgROI%  AvgWR%   Win%   W/T  2023-08         2023-11         2024-02         2024-05         2024-08         2024-11         2025-02         2025-05         2025-08         2025-11         2026-02       
  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  home[2.5,3.5) xg>=1.0                                      26   +64.7%   56.0%    60%  3/5  +78%/60%/n5     +198%/100%/n4   —               —               —               —               —               —               +127%/75%/n4    -31%/25%/n8     -48%/20%/n5    ★★
  home[1.8,2.2) form>=1.8 mkt>=0.45                          24   +47.6%   77.0%    80%  4/5  +82%/100%/n3    +102%/100%/n4   +13%/60%/n5     —               —               —               —               —               +45%/75%/n4     -4%/50%/n8      —              ★★
  home[1.8,2.2) xg>=1.0 form>=1.8 mkt>=0.45                  15   +46.6%   75.4%   100%  4/4  —               +102%/100%/n3   +41%/75%/n4     —               —               —               —               —               +28%/67%/n3     +15%/60%/n5     —              ★★
  home[2.5,3.5) form>=1.5                                    51   +43.7%   50.2%    83%  5/6  +42%/50%/n6     +97%/67%/n12    +23%/43%/n7     —               —               —               —               —               +93%/67%/n6     +25%/46%/n13    -17%/29%/n7    ★★
  home[1.8,2.2) form>=1.5 mkt>=0.45                          31   +40.8%   73.3%   100%  5/5  +48%/80%/n5     +62%/80%/n5     +33%/71%/n7     —               —               —               —               —               +45%/75%/n4     +16%/60%/n10    —              ★★
  home[2.5,3.5) form>=1.8                                    32   +39.9%   48.7%    80%  4/5  +42%/50%/n6     +77%/60%/n10    +50%/50%/n4     —               —               —               —               —               —               +34%/50%/n6     -3%/33%/n6     ★★
  home[1.8,2.2) xg>=1.0 form>=1.5 mkt>=0.45                  18   +39.4%   72.1%   100%  4/4  —               +51%/75%/n4     +49%/80%/n5     —               —               —               —               —               +28%/67%/n3     +29%/67%/n6     —              ★★
  home[1.8,2.2) xg>=1.0 form>=1.8                            16   +38.5%   71.2%    75%  3/4  —               +102%/100%/n3   +41%/75%/n4     —               —               —               —               —               -4%/50%/n4      +15%/60%/n5     —              ★★
  home[1.8,2.2) form>=1.8                                    28   +36.8%   71.1%    60%  3/5  +82%/100%/n3    +102%/100%/n4   -6%/50%/n6      —               —               —               —               —               -3%/50%/n6      +9%/56%/n9      —              ★★
  away[2.5,3.5) xg>=1.5                                      15   +32.2%   47.5%    75%  3/4  +50%/50%/n4     —               -13%/33%/n3     —               —               —               —               —               +12%/40%/n5     —               +80%/67%/n3    ★★
  home[1.8,2.2) xg>=1.0 form>=1.5                            23   +31.7%   68.3%    80%  4/5  +22%/67%/n3     +51%/75%/n4     +60%/83%/n6     —               —               —               —               —               -4%/50%/n4      +29%/67%/n6     —              ★★
  home[1.8,2.2) form>=1.5                                    37   +26.9%   65.4%    80%  4/5  +23%/67%/n6     +62%/80%/n5     +27%/67%/n9     —               —               —               —               —               -3%/50%/n6      +25%/64%/n11    —              ★★
  home[1.7,2.0) xg>=1.0 form>=1.8                            16   +26.7%   68.4%   100%  4/4  —               +23%/67%/n3     +47%/80%/n5     —               —               —               —               —               +12%/60%/n5     +25%/67%/n3     —              ★★
  home[1.7,2.0) xg>=1.0 form>=1.8 mkt>=0.45                  16   +26.7%   68.4%   100%  4/4  —               +23%/67%/n3     +47%/80%/n5     —               —               —               —               —               +12%/60%/n5     +25%/67%/n3     —              ★★
  away[2.5,3.5) xg>=1.2 form>=1.5                            22   +24.9%   43.7%    60%  3/5  +50%/50%/n4     -24%/29%/n7     +14%/40%/n5     —               —               —               —               —               +92%/67%/n3     -7%/33%/n3      —              ★★
  away[1.55,1.8) xg>=1.8 form>=2.2                           13   +24.5%   77.1%   100%  4/4  +57%/100%/n3    —               +25%/75%/n4     —               —               —               —               —               +6%/67%/n3      —               +11%/67%/n3    ★★
  away[1.55,1.8) xg>=1.8 form>=2.2 mkt>=0.35                 13   +24.5%   77.1%   100%  4/4  +57%/100%/n3    —               +25%/75%/n4     —               —               —               —               —               +6%/67%/n3      —               +11%/67%/n3    ★★
  away[1.55,1.8) xg>=1.8 form>=2.2 mkt>=0.4                  13   +24.5%   77.1%   100%  4/4  +57%/100%/n3    —               +25%/75%/n4     —               —               —               —               —               +6%/67%/n3      —               +11%/67%/n3    ★★
  away[1.55,1.8) xg>=1.8 form>=2.2 mkt>=0.45                 13   +24.5%   77.1%   100%  4/4  +57%/100%/n3    —               +25%/75%/n4     —               —               —               —               —               +6%/67%/n3      —               +11%/67%/n3    ★★
  away[1.55,1.8) xg>=1.2 elo<=-75                            35   +23.9%   76.2%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +47%/88%/n8     —               —               —               —               —               +61%/100%/n3    -4%/60%/n10     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 mkt>=0.35                  35   +23.9%   76.2%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +47%/88%/n8     —               —               —               —               —               +61%/100%/n3    -4%/60%/n10     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 mkt>=0.4                   35   +23.9%   76.2%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +47%/88%/n8     —               —               —               —               —               +61%/100%/n3    -4%/60%/n10     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 mkt>=0.45                  35   +23.9%   76.2%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +47%/88%/n8     —               —               —               —               —               +61%/100%/n3    -4%/60%/n10     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 form>=1.5                  28   +22.8%   75.6%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -1%/60%/n5     ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 form>=1.5 mkt>=0.35        28   +22.8%   75.6%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -1%/60%/n5     ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 form>=1.5 mkt>=0.4         28   +22.8%   75.6%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -1%/60%/n5     ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 form>=1.5 mkt>=0.45        28   +22.8%   75.6%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -1%/60%/n5     ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 form>=1.8                  27   +21.9%   75.0%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +33%/80%/n5     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -1%/60%/n5     ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 form>=1.8 mkt>=0.35        27   +21.9%   75.0%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +33%/80%/n5     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -1%/60%/n5     ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 form>=1.8 mkt>=0.4         27   +21.9%   75.0%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +33%/80%/n5     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -1%/60%/n5     ★★
  away[1.55,1.8) xg>=1.2 elo<=-75 form>=1.8 mkt>=0.45        27   +21.9%   75.0%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +33%/80%/n5     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -1%/60%/n5     ★★
  away[1.55,1.8) elo<=-75                                    43   +20.9%   73.8%    67%  4/6  +62%/100%/n4    -4%/57%/n7      +30%/78%/n9     —               —               —               —               —               +61%/100%/n3    +3%/64%/n11     -26%/44%/n9    ★★
  away[1.55,1.8) elo<=-75 mkt>=0.35                          43   +20.9%   73.8%    67%  4/6  +62%/100%/n4    -4%/57%/n7      +30%/78%/n9     —               —               —               —               —               +61%/100%/n3    +3%/64%/n11     -26%/44%/n9    ★★
  away[1.55,1.8) elo<=-75 mkt>=0.4                           43   +20.9%   73.8%    67%  4/6  +62%/100%/n4    -4%/57%/n7      +30%/78%/n9     —               —               —               —               —               +61%/100%/n3    +3%/64%/n11     -26%/44%/n9    ★★
  away[1.55,1.8) elo<=-75 mkt>=0.45                          43   +20.9%   73.8%    67%  4/6  +62%/100%/n4    -4%/57%/n7      +30%/78%/n9     —               —               —               —               —               +61%/100%/n3    +3%/64%/n11     -26%/44%/n9    ★★
  away[1.55,1.8) xg>=1.2 elo<=-30                            40   +20.5%   74.2%    67%  4/6  +58%/100%/n4    +17%/71%/n7     +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.2 elo<=-30 mkt>=0.35                  40   +20.5%   74.2%    67%  4/6  +58%/100%/n4    +17%/71%/n7     +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.2 elo<=-30 mkt>=0.4                   40   +20.5%   74.2%    67%  4/6  +58%/100%/n4    +17%/71%/n7     +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.2 elo<=-30 mkt>=0.45                  40   +20.5%   74.2%    67%  4/6  +58%/100%/n4    +17%/71%/n7     +49%/89%/n9     —               —               —               —               —               +20%/75%/n4     -4%/60%/n10     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.0 elo<=-75 form>=1.5                  29   +20.1%   73.9%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.0 elo<=-75 form>=1.5 mkt>=0.35        29   +20.1%   73.9%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.0 elo<=-75 form>=1.5 mkt>=0.4         29   +20.1%   73.9%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.0 elo<=-75 form>=1.5 mkt>=0.45        29   +20.1%   73.9%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +39%/83%/n6     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★★
  away[1.55,1.8) xg>=1.0 elo<=-75 form>=1.8                  28   +19.1%   73.3%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +33%/80%/n5     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.0 elo<=-75 form>=1.8 mkt>=0.35        28   +19.1%   73.3%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +33%/80%/n5     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.0 elo<=-75 form>=1.8 mkt>=0.4         28   +19.1%   73.3%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +33%/80%/n5     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.0 elo<=-75 form>=1.8 mkt>=0.45        28   +19.1%   73.3%    67%  4/6  +57%/100%/n3    +1%/60%/n5      +33%/80%/n5     —               —               —               —               —               +61%/100%/n3    -20%/50%/n6     -18%/50%/n6    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 form>=1.5                  22   +18.7%   73.1%    83%  5/6  +57%/100%/n3    +13%/67%/n3     +33%/80%/n5     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -17%/50%/n4    ★
  away[1.55,1.8) xg>=1.8 elo<=-30 form>=1.5 mkt>=0.35        22   +18.7%   73.1%    83%  5/6  +57%/100%/n3    +13%/67%/n3     +33%/80%/n5     —               —               —               —               —               +6%/67%/n3      +20%/75%/n4     -17%/50%/n4    ★
