features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
form_adv+elo+standings+rest+market_ext,5,36,0.2,2.5,144,61.8,35.05,32.67,1326.72
elo+rest+market_ext,3,13,0.2,2.5,136,60.3,30.44,33.99,1339.86
elo+rest,2,11,0.2,2.5,152,59.9,27.57,29.77,1297.67
form_adv+elo+standings+rest,4,34,0.2,2.5,135,58.5,27.34,29.73,1297.33
form_adv+elo+standings+market_ext,4,33,0.2,2.5,133,57.1,25.93,25.5,1255.0
form_adv+elo,2,23,0.2,2.5,134,56.0,23.02,27.51,1275.15
elo+rest+market_ext,3,13,0.2,2.2,64,62.5,22.05,19.65,1196.53
elo+rest,2,11,0.2,2.2,76,63.2,21.34,18.28,1182.82
form_adv+elo+standings+rest+market_ext,5,36,0.2,2.2,59,62.7,21.19,19.82,1198.17
elo+rest+market_ext,3,13,0.15,2.5,219,56.2,20.67,22.61,1226.06
form_adv+elo+standings+rest+market_ext,5,36,0.15,2.5,212,55.7,20.47,21.33,1213.35
form_adv+elo+standings+rest,4,34,0.15,2.5,212,56.1,20.37,18.38,1183.76
form_adv+elo+rest+market_ext,4,28,0.2,2.5,154,55.8,20.28,16.19,1161.88
elo+standings+rest,3,19,0.2,2.5,139,55.4,20.12,21.57,1215.65
form_adv+elo,2,23,0.2,2.2,47,61.7,19.94,18.56,1185.56
xg+elo+standings,3,30,0.2,2.5,183,54.6,19.23,20.52,1205.23
form_basic+form_adv+elo+standings+rest,5,48,0.15,2.5,244,55.3,19.11,18.1,1181.04
elo+rest,2,11,0.15,2.5,227,56.4,18.47,19.21,1192.09
form_adv+elo+standings+market_ext,4,33,0.12,2.5,253,55.7,18.25,17.87,1178.7
elo+standings+rest+market_ext,4,21,0.2,2.5,135,54.8,18.21,16.67,1166.66
elo,1,8,0.2,2.5,170,55.3,18.2,22.67,1226.65
form_adv+elo+market_ext,3,25,0.2,2.2,45,60.0,17.89,15.66,1156.61
form_basic+elo+rest+market_ext,4,27,0.2,2.2,63,60.3,17.53,14.1,1140.98
form_adv+elo+standings,3,31,0.2,2.5,126,54.0,17.37,17.29,1172.87
form_adv+elo+standings+rest,4,34,0.12,2.5,272,54.8,17.06,15.32,1153.24
form_adv+elo,2,23,0.08,2.5,339,54.9,16.34,17.8,1177.98
form_adv+elo+rest+market_ext,4,28,0.15,2.5,223,54.3,16.28,13.16,1131.57
elo+market_ext,2,10,0.2,2.2,76,60.5,16.26,15.82,1158.18
