N,Дата,Ліга,Ставка_на,Проти,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
1,2023-09-18,La Liga,Girona,Granada CF,2.4,94,0.604,AWAY,WIN,1000.0,40.0,56.0,1056.0,5.6,5.6
2,2023-09-23,La Liga,Valencia,Almeria,2.45,94,0.606,DRAW,LOSS,1056.0,42.24,-42.24,1013.76,-4.0,1.4
3,2023-09-30,Bundesliga,VfB Stuttgart,1. FC Köln,2.45,92,0.641,AWAY,WIN,1013.76,40.55,58.8,1072.56,5.8,7.3
4,2023-10-07,La Liga,Girona,Cadiz,2.2,92,0.614,AWAY,WIN,1072.56,42.9,51.48,1124.04,4.8,12.4
5,2023-10-08,Premier League,Aston Villa,Wolves,2.1,85,0.599,DRAW,LOSS,1124.04,44.96,-44.96,1079.08,-4.0,7.9
6,2023-10-08,Serie A,Atalanta,Lazio,2.5,99,0.572,HOME,LOSS,1079.08,43.16,-43.16,1035.92,-4.0,3.6
7,2023-10-21,Premier League,Arsenal,Chelsea,2.3,94,0.62,DRAW,LOSS,1035.92,41.44,-41.44,994.48,-4.0,-0.6
8,2023-10-21,La Liga,Atletico Madrid,Celta Vigo,2.15,111,0.681,AWAY,WIN,994.48,39.78,45.75,1040.23,4.6,4.0
9,2023-10-29,Bundesliga,Borussia Dortmund,Eintracht Frankfurt,2.15,87,0.579,DRAW,LOSS,1040.23,41.61,-41.61,998.62,-4.0,-0.1
10,2023-11-04,La Liga,Girona,Osasuna,2.4,100,0.668,AWAY,WIN,998.62,39.94,55.92,1054.54,5.6,5.5
11,2023-11-04,Premier League,Crystal Palace,Burnley,2.38,99,0.619,AWAY,WIN,1054.54,42.18,58.21,1112.75,5.5,11.3
12,2023-11-04,Premier League,Brighton,Everton,2.38,88,0.581,DRAW,LOSS,1112.75,44.51,-44.51,1068.24,-4.0,6.8
13,2023-11-05,Serie A,Monza,Hellas Verona,2.45,89,0.579,AWAY,WIN,1068.24,42.73,61.96,1130.2,5.8,13.0
14,2023-11-11,Premier League,Tottenham,Wolves,2.25,96,0.653,HOME,LOSS,1130.2,45.21,-45.21,1084.99,-4.0,8.5
15,2023-11-11,La Liga,Girona,Rayo Vallecano,2.25,100,0.611,AWAY,WIN,1084.99,43.4,54.25,1139.24,5.0,13.9
16,2023-11-12,Bundesliga,Eintracht Frankfurt,Werder Bremen,2.45,96,0.615,DRAW,LOSS,1139.24,45.57,-45.57,1093.67,-4.0,9.4
17,2023-11-26,Ligue 1,Lille,Lyon,2.38,121,0.644,AWAY,WIN,1093.67,43.75,60.37,1154.04,5.5,15.4
18,2023-12-02,La Liga,Real Sociedad,Osasuna,2.1,117,0.646,DRAW,LOSS,1154.04,46.16,-46.16,1107.88,-4.0,10.8
19,2023-12-02,Ligue 1,Nice,Nantes,2.15,109,0.678,HOME,LOSS,1107.88,44.32,-44.32,1063.56,-4.0,6.4
