edge_thr,kelly_cap,ws_min,bets,win_rate,avg_odds,roi,profit,bankroll
0.17,0.02,125,23,0.6956521739130435,1.7391304347826086,19.17,93.73,1093.73
0.17,0.03,125,23,0.6956521739130435,1.7391304347826086,18.67,141.1,1141.1
0.17,0.04,125,23,0.6956521739130435,1.7391304347826086,18.17,188.62,1188.62
0.17,0.06,125,23,0.6956521739130435,1.7391304347826086,17.18,283.47,1283.47
0.25,0.02,75,51,0.5490196078431373,2.156862745098039,12.25,131.29,1131.29
0.25,0.03,75,51,0.5490196078431373,2.156862745098039,11.62,190.84,1190.84
0.25,0.04,75,51,0.5490196078431373,2.156862745098039,10.97,245.18,1245.18
0.15,0.02,125,28,0.6428571428571429,1.740357142857143,10.46,61.36,1061.36
0.15,0.03,125,28,0.6428571428571429,1.740357142857143,10.01,90.12,1090.12
0.25,0.06,75,51,0.5490196078431373,2.156862745098039,9.68,335.1,1335.1
0.15,0.04,125,28,0.6428571428571429,1.740357142857143,9.57,117.39,1117.39
0.15,0.06,125,28,0.6428571428571429,1.740357142857143,8.71,166.8,1166.8
0.25,0.02,100,29,0.5862068965517241,1.9017241379310343,7.11,41.67,1041.67
0.25,0.03,100,29,0.5862068965517241,1.9017241379310343,6.71,59.18,1059.18
0.25,0.04,100,29,0.5862068965517241,1.9017241379310343,6.3,74.31,1074.31
0.25,0.06,100,29,0.5862068965517241,1.9017241379310343,5.48,96.96,1096.96
0.2,0.02,75,85,0.5058823529411764,2.201529411764706,2.0,35.53,1035.53
0.2,0.03,75,85,0.5058823529411764,2.201529411764706,1.36,36.67,1036.67
0.2,0.04,75,85,0.5058823529411764,2.201529411764706,0.74,26.84,1026.84
0.12,0.02,125,33,0.5757575757575758,1.7557575757575756,-0.36,-2.43,997.57
0.2,0.06,75,85,0.5058823529411764,2.201529411764706,-0.43,-23.54,976.46
0.12,0.03,125,33,0.5757575757575758,1.7557575757575756,-0.71,-7.42,992.58
0.12,0.04,125,33,0.5757575757575758,1.7557575757575756,-1.06,-14.89,985.11
0.12,0.06,125,33,0.5757575757575758,1.7557575757575756,-1.71,-37.09,962.91
0.3,0.02,0,90,0.37777777777777777,3.942,-1.75,-29.07,970.93
0.1,0.02,125,40,0.55,1.78275,-2.24,-18.78,981.22
0.17,0.02,75,116,0.49137931034482757,2.186551724137931,-2.24,-52.13,947.87
0.1,0.03,125,40,0.55,1.78275,-2.55,-32.83,967.17
0.3,0.02,75,34,0.5,2.1017647058823528,-2.58,-17.33,982.67
0.17,0.03,75,116,0.49137931034482757,2.186551724137931,-2.78,-96.26,903.74
0.1,0.02,75,226,0.47345132743362833,2.2533628318584067,-2.83,-127.66,872.34
0.1,0.04,125,40,0.55,1.78275,-2.84,-49.83,950.17
0.3,0.03,0,90,0.37777777777777777,3.942,-2.93,-69.33,930.67
0.3,0.03,75,34,0.5,2.1017647058823528,-3.11,-31.03,968.97
0.1,0.03,75,226,0.47345132743362833,2.2533628318584067,-3.3,-219.04,780.96
0.17,0.04,75,116,0.49137931034482757,2.186551724137931,-3.3,-150.03,849.97
0.3,0.04,75,34,0.5,2.1017647058823528,-3.64,-47.89,952.11
0.2,0.02,100,48,0.5416666666666666,1.9060416666666666,-3.73,-35.16,964.84
0.1,0.04,75,226,0.47345132743362833,2.2533628318584067,-3.77,-323.72,676.28
0.2,0.03,100,48,0.5416666666666666,1.9060416666666666,-4.14,-57.96,942.04
0.3,0.04,0,90,0.37777777777777777,3.942,-4.15,-123.44,876.56
0.17,0.06,75,116,0.49137931034482757,2.186551724137931,-4.27,-277.96,722.04
0.1,0.06,125,40,0.55,1.78275,-4.32,-114.78,885.22
0.15,0.02,75,142,0.4788732394366197,2.190985915492958,-4.33,-119.11,880.89
0.2,0.04,100,48,0.5416666666666666,1.9060416666666666,-4.56,-83.92,916.08
0.1,0.06,75,226,0.47345132743362833,2.2533628318584067,-4.66,-531.01,468.99
0.3,0.06,75,34,0.5,2.1017647058823528,-4.7,-90.4,909.6
0.15,0.03,75,142,0.4788732394366197,2.190985915492958,-4.83,-193.89,806.11
0.15,0.04,75,142,0.4788732394366197,2.190985915492958,-5.3,-274.47,725.53
0.2,0.06,100,48,0.5416666666666666,1.9060416666666666,-5.4,-144.18,855.82
0.25,0.02,0,175,0.34285714285714286,3.837428571428571,-5.88,-168.68,831.32
0.15,0.06,75,142,0.4788732394366197,2.190985915492958,-5.99,-430.16,569.84
0.2,0.02,0,324,0.3271604938271605,3.991666666666667,-6.34,-349.28,650.72
0.3,0.06,0,90,0.37777777777777777,3.942,-6.72,-260.75,739.25
0.2,0.03,0,324,0.3271604938271605,3.991666666666667,-7.38,-532.6,467.4
0.15,0.02,100,78,0.5128205128205128,1.9348717948717944,-7.48,-111.32,888.68
0.25,0.03,0,175,0.34285714285714286,3.837428571428571,-7.62,-288.62,711.38
0.15,0.03,100,78,0.5128205128205128,1.9348717948717944,-7.87,-170.79,829.21
0.17,0.02,100,64,0.515625,1.9181249999999999,-7.87,-97.57,902.43
0.17,0.03,100,64,0.515625,1.9181249999999999,-8.22,-149.71,850.29
0.15,0.04,100,78,0.5128205128205128,1.9348717948717944,-8.25,-231.57,768.43
0.12,0.02,75,186,0.45698924731182794,2.2382258064516134,-8.35,-268.24,731.76
0.2,0.04,0,324,0.3271604938271605,3.991666666666667,-8.43,-687.74,312.26
0.15,0.02,0,616,0.30357142857142855,4.141298701298701,-8.51,-680.54,319.46
0.17,0.04,100,64,0.515625,1.9181249999999999,-8.56,-203.22,796.78
0.12,0.03,75,186,0.45698924731182794,2.2382258064516134,-8.89,-394.34,605.66
0.15,0.06,100,78,0.5128205128205128,1.9348717948717944,-8.92,-350.85,649.15
0.17,0.06,100,64,0.515625,1.9181249999999999,-9.24,-311.86,688.14
0.12,0.04,75,186,0.45698924731182794,2.2382258064516134,-9.4,-509.47,490.53
0.15,0.03,0,616,0.30357142857142855,4.141298701298701,-9.42,-856.7,143.3
0.12,0.06,75,186,0.45698924731182794,2.2382258064516134,-9.45,-665.85,334.15
0.25,0.04,0,175,0.34285714285714286,3.837428571428571,-9.49,-414.65,585.35
0.1,0.02,0,1087,0.29162833486660533,4.2425574977000915,-9.63,-884.31,115.69
0.1,0.06,100,118,0.4830508474576271,1.9641525423728814,-10.05,-611.45,388.55
0.1,0.04,100,118,0.4830508474576271,1.9641525423728814,-10.49,-457.38,542.62
0.15,0.04,0,616,0.30357142857142855,4.141298701298701,-10.51,-944.35,55.65
0.1,0.03,0,1087,0.29162833486660533,4.2425574977000915,-10.58,-974.02,25.98
0.2,0.06,0,324,0.3271604938271605,3.991666666666667,-10.61,-882.94,117.06
0.1,0.03,100,118,0.4830508474576271,1.9641525423728814,-10.71,-359.06,640.94
0.1,0.02,100,118,0.4830508474576271,1.9641525423728814,-10.89,-248.64,751.36
0.1,0.04,0,1087,0.29162833486660533,4.2425574977000915,-11.32,-995.0,5.0
0.12,0.02,0,880,0.2897727272727273,4.227011363636364,-11.39,-889.92,110.08
0.12,0.03,0,880,0.2897727272727273,4.227011363636364,-12.22,-973.74,26.26
0.12,0.06,100,97,0.4845360824742268,1.9515463917525775,-12.23,-563.05,436.95
0.12,0.02,100,97,0.4845360824742268,1.9515463917525775,-12.27,-221.79,778.21
0.17,0.02,0,480,0.30833333333333335,4.1202708333333335,-12.32,-675.66,324.34
0.12,0.03,100,97,0.4845360824742268,1.9515463917525775,-12.36,-322.21,677.79
0.12,0.04,100,97,0.4845360824742268,1.9515463917525775,-12.44,-414.71,585.29
0.12,0.04,0,880,0.2897727272727273,4.227011363636364,-13.32,-994.46,5.54
0.1,0.06,0,1087,0.29162833486660533,4.2425574977000915,-13.35,-999.53,0.47
0.15,0.06,0,616,0.30357142857142855,4.141298701298701,-13.75,-992.77,7.23
0.25,0.06,0,175,0.34285714285714286,3.837428571428571,-13.85,-645.21,354.79
0.17,0.03,0,480,0.30833333333333335,4.1202708333333335,-13.97,-843.53,156.47
0.17,0.04,0,480,0.30833333333333335,4.1202708333333335,-15.75,-931.98,68.02
0.12,0.06,0,880,0.2897727272727273,4.227011363636364,-16.08,-999.46,0.54
0.17,0.06,0,480,0.30833333333333335,4.1202708333333335,-19.12,-988.3,11.7
