N,Дата,Ліга,Ставка_на,Проти,Сторона,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
1,2023-09-18,La Liga,Girona,Granada CF,AWAY,2.4,94,0.604,AWAY,WIN,1000.0,40.0,56.0,1056.0,5.6,5.6
2,2023-09-23,La Liga,Valencia,Almeria,AWAY,2.45,94,0.606,DRAW,LOSS,1056.0,42.24,-42.24,1013.76,-4.0,1.4
3,2023-09-30,Bundesliga,VfB Stuttgart,1. FC Köln,AWAY,2.45,92,0.641,AWAY,WIN,1013.76,40.55,58.8,1072.56,5.8,7.3
4,2023-10-07,La Liga,Girona,Cadiz,AWAY,2.2,92,0.614,AWAY,WIN,1072.56,42.9,51.48,1124.04,4.8,12.4
5,2023-10-21,Premier League,Arsenal,Chelsea,AWAY,2.3,94,0.62,DRAW,LOSS,1124.04,44.96,-44.96,1079.08,-4.0,7.9
6,2023-11-04,La Liga,Girona,Osasuna,AWAY,2.4,100,0.668,AWAY,WIN,1079.08,43.16,60.42,1139.5,5.6,14.0
7,2023-11-04,Premier League,Brighton,Everton,AWAY,2.38,88,0.581,DRAW,LOSS,1139.5,45.58,-45.58,1093.92,-4.0,9.4
8,2023-11-04,Premier League,Crystal Palace,Burnley,AWAY,2.38,99,0.619,AWAY,WIN,1093.92,43.76,60.39,1154.31,5.5,15.4
9,2023-11-11,Premier League,Tottenham,Wolves,AWAY,2.25,96,0.653,HOME,LOSS,1154.31,46.17,-46.17,1108.14,-4.0,10.8
10,2023-11-11,La Liga,Girona,Rayo Vallecano,AWAY,2.25,100,0.611,AWAY,WIN,1108.14,44.33,55.41,1163.55,5.0,16.4
11,2023-11-12,Bundesliga,Eintracht Frankfurt,Werder Bremen,AWAY,2.45,96,0.615,DRAW,LOSS,1163.55,46.54,-46.54,1117.01,-4.0,11.7
12,2023-12-07,Premier League,Newcastle,Everton,AWAY,2.35,93,0.601,HOME,LOSS,1117.01,44.68,-44.68,1072.33,-4.0,7.2
13,2023-12-16,Premier League,Everton,Burnley,AWAY,2.2,119,0.691,AWAY,WIN,1072.33,42.89,51.47,1123.8,4.8,12.4
14,2023-12-17,Premier League,Aston Villa,Brentford,AWAY,2.38,91,0.697,AWAY,WIN,1123.8,44.95,62.03,1185.83,5.5,18.6
15,2023-12-21,Premier League,Brighton,Crystal Palace,AWAY,2.25,95,0.589,DRAW,LOSS,1185.83,47.43,-47.43,1138.4,-4.0,13.8
16,2023-12-23,Premier League,Bournemouth,Nottingham Forest,AWAY,2.5,95,0.61,AWAY,WIN,1138.4,45.54,68.31,1206.71,6.0,20.7
17,2024-01-04,La Liga,Athletic Club,Sevilla,AWAY,2.45,107,0.703,AWAY,WIN,1206.71,48.27,69.99,1276.7,5.8,27.7
18,2024-01-14,Premier League,Aston Villa,Everton,AWAY,2.55,82,0.65,DRAW,LOSS,1276.7,51.07,-51.07,1225.63,-4.0,22.6
19,2024-01-20,La Liga,Real Sociedad,Celta Vigo,AWAY,2.6,81,0.626,AWAY,WIN,1225.63,49.03,78.45,1304.08,6.4,30.4
20,2024-01-21,Premier League,West Ham,Sheffield Utd,AWAY,2.38,118,0.742,DRAW,LOSS,1304.08,52.16,-52.16,1251.92,-4.0,25.2
21,2024-01-28,La Liga,Girona,Celta Vigo,AWAY,2.5,104,0.779,AWAY,WIN,1251.92,50.08,75.12,1327.04,6.0,32.7
22,2024-02-03,Premier League,Tottenham,Everton,AWAY,2.2,84,0.623,DRAW,LOSS,1327.04,53.08,-53.08,1273.96,-4.0,27.4
23,2024-02-03,Premier League,Fulham,Burnley,AWAY,2.4,88,0.619,DRAW,LOSS,1273.96,50.96,-50.96,1223.0,-4.0,22.3
24,2024-02-09,La Liga,Real Betis,Cadiz,AWAY,2.5,83,0.678,AWAY,WIN,1223.0,48.92,73.38,1296.38,6.0,29.6
25,2024-02-17,Premier League,Aston Villa,Fulham,AWAY,2.38,93,0.622,AWAY,WIN,1296.38,51.86,71.57,1367.95,5.5,36.8
26,2024-02-18,La Liga,Real Sociedad,Mallorca,AWAY,2.6,86,0.605,AWAY,WIN,1367.95,54.72,87.55,1455.5,6.4,45.6
27,2024-03-03,La Liga,Girona,Mallorca,AWAY,2.2,80,0.744,HOME,LOSS,1455.5,58.22,-58.22,1397.28,-4.0,39.7
28,2024-03-11,La Liga,Sevilla,Almeria,AWAY,2.2,102,0.672,DRAW,LOSS,1397.28,55.89,-55.89,1341.39,-4.0,34.1
