date,match_id,league,outcome,actual,ws_home,ws_away,ws_dominant,ws_weak,ws_gap,odds,p_elo,p_market,won
2024-07-27 18:45:00,6251,Jupiler Pro League,home,home,23,1,23,1,22,1.56,0.5,0.6424436391019909,True
2024-07-28 14:00:00,6253,Jupiler Pro League,away,away,1,31,31,1,30,1.8,0.5,0.5552849488553337,True
2024-07-28 16:30:00,6254,Jupiler Pro League,away,away,1,17,17,1,16,2.18,0.5,0.45945945945945943,True
2024-07-28 17:15:00,6255,Jupiler Pro League,away,home,1,17,17,1,16,2.41,0.5,0.41568296795952775,False
2024-08-02 18:45:00,6256,Jupiler Pro League,home,home,34,14,34,14,20,1.39,0.5,0.7171554841301727,True
2024-08-03 14:00:00,6257,Jupiler Pro League,away,away,4,35,35,4,31,3.78,0.5230095872975623,0.26466182308441316,True
2024-08-03 16:15:00,6258,Jupiler Pro League,away,home,21,48,48,21,27,2.28,0.5,0.43811274509803916,False
2024-08-03 18:45:00,6259,Jupiler Pro League,away,away,10,14,14,10,4,3.01,0.5,0.3327556325823224,True
2024-08-04 11:30:00,6260,Jupiler Pro League,home,away,33,31,33,31,2,2.05,0.5,0.48875783265757455,False
2024-08-04 14:00:00,6261,Jupiler Pro League,home,away,27,17,27,17,10,1.81,0.5,0.5513024344538721,False
2024-08-04 16:30:00,6262,Jupiler Pro League,away,home,13,62,62,13,49,1.67,0.5,0.5995320050399457,False
2024-08-04 17:15:00,6263,Jupiler Pro League,home,away,50,6,50,6,44,1.7,0.5230095872975623,0.589300600799149,False
2024-08-09 18:00:00,4932,Eredivisie,home,home,13,1,13,1,12,1.7,0.5,0.5883926183471516,True
2024-08-09 19:15:00,6953,Primeira Liga,home,home,23,1,23,1,22,1.24,0.5,0.8088978766430739,True
2024-08-10 14:00:00,6265,Jupiler Pro League,away,home,13,16,16,13,3,3.67,0.4759331307924145,0.27237354085603116,False
2024-08-10 16:15:00,6266,Jupiler Pro League,away,home,34,47,47,34,13,2.09,0.47804790085860527,0.4776622646810902,False
2024-08-10 16:45:00,4943,Eredivisie,away,away,2,17,17,2,15,2.22,0.5,0.45092838196286467,True
2024-08-10 17:00:00,6955,Primeira Liga,home,away,1,1,1,1,0,2.18,0.5,0.4586948321388156,False
2024-08-10 18:00:00,4949,Eredivisie,away,away,3,31,31,3,28,1.7,0.5,0.5892322244994482,True
2024-08-10 19:00:00,4954,Eredivisie,home,home,23,3,23,3,20,1.15,0.5,0.868812998345118,True
2024-08-10 19:30:00,6956,Primeira Liga,home,home,23,1,23,1,22,1.26,0.5,0.794066317626527,True
