gap_min,dom_min,odds_min,kelly_cap,bets,win_rate,avg_odds,roi,profit,bankroll
30,80,2.0,0.06,486,0.5740740740740741,2.519094650205761,61.08,13795770.21,13796770.21
60,80,2.0,0.06,456,0.5789473684210527,2.467061403508772,59.17,7013006.32,7014006.32
50,80,2.0,0.06,475,0.5747368421052632,2.4884631578947367,57.51,8305732.49,8306732.49
30,80,2.0,0.04,486,0.5740740740740741,2.519094650205761,55.77,842398.61,843398.61
60,80,2.0,0.04,456,0.5789473684210527,2.467061403508772,54.71,510524.07,511524.07
30,80,1.7,0.06,773,0.6429495472186287,2.259961190168176,54.16,1161744275.57,1161745275.57
50,80,2.0,0.04,475,0.5747368421052632,2.4884631578947367,53.06,590238.33,591238.33
70,80,2.0,0.06,430,0.5790697674418605,2.442581395348837,52.57,3116185.5,3117185.5
30,80,2.2,0.06,355,0.543661971830986,2.6821690140845074,52.44,1160011.21,1161011.21
60,70,2.0,0.06,571,0.5604203152364273,2.5549036777583187,52.4,36033279.32,36034279.32
30,80,2.0,0.03,486,0.5740740740740741,2.519094650205761,52.34,176275.87,177275.87
30,80,1.8,0.06,651,0.6067588325652842,2.3568663594470043,52.18,145754549.97,145755549.97
60,80,2.2,0.06,329,0.5531914893617021,2.6177203647416416,52.04,729256.2,730256.2
60,80,2.0,0.03,456,0.5789473684210527,2.467061403508772,51.58,118697.84,119697.84
60,80,1.7,0.06,734,0.6485013623978202,2.2223705722070846,50.93,562968169.89,562969169.89
50,70,2.0,0.06,604,0.5579470198675497,2.583162251655629,50.74,76544717.01,76545717.01
30,80,1.5,0.06,1101,0.6966394187102634,2.0606993642143507,50.68,43940487909.79,43940488909.79
60,70,2.0,0.04,571,0.5604203152364273,2.5549036777583187,50.5,1675148.34,1676148.34
50,80,2.0,0.03,475,0.5747368421052632,2.4884631578947367,50.02,133906.37,134906.37
50,80,1.7,0.06,759,0.6442687747035574,2.2387615283267452,49.95,680106584.16,680107584.16
60,80,2.2,0.04,329,0.5531914893617021,2.6177203647416416,49.87,99388.4,100388.4
60,50,2.0,0.06,619,0.5573505654281099,2.5811308562197093,49.79,101438092.22,101439092.22
60,60,2.0,0.06,619,0.5573505654281099,2.5811308562197093,49.79,101438092.22,101439092.22
30,70,2.0,0.06,634,0.556782334384858,2.6013564668769718,49.66,160802758.99,160803758.99
30,80,2.2,0.04,355,0.543661971830986,2.6821690140845074,49.55,140880.53,141880.53
50,80,2.2,0.06,345,0.5449275362318841,2.64368115942029,49.54,746671.11,747671.11
60,50,2.0,0.04,619,0.5573505654281099,2.5811308562197093,49.31,3397200.88,3398200.88
60,60,2.0,0.04,619,0.5573505654281099,2.5811308562197093,49.31,3397200.88,3398200.88
70,80,2.0,0.04,430,0.5790697674418605,2.442581395348837,49.31,295232.54,296232.54
60,80,1.8,0.06,616,0.612012987012987,2.3141883116883117,49.27,72416673.02,72417673.02
50,70,2.0,0.04,604,0.5579470198675497,2.583162251655629,49.2,2909674.03,2910674.03
30,80,1.7,0.04,773,0.6429495472186287,2.259961190168176,49.05,25593812.42,25594812.42
80,70,2.0,0.06,344,0.5959302325581395,2.379563953488372,48.97,918821.63,919821.63
80,50,2.0,0.06,344,0.5959302325581395,2.379563953488372,48.97,918821.63,919821.63
80,60,2.0,0.06,344,0.5959302325581395,2.379563953488372,48.97,918821.63,919821.63
80,80,2.0,0.06,344,0.5959302325581395,2.379563953488372,48.97,918821.63,919821.63
30,70,2.0,0.04,634,0.556782334384858,2.6013564668769718,48.91,4920284.39,4921284.39
60,70,2.0,0.03,571,0.5604203152364273,2.5549036777583187,48.77,301291.74,302291.74
60,50,2.0,0.03,619,0.5573505654281099,2.5811308562197093,48.46,520315.62,521315.62
60,60,2.0,0.03,619,0.5573505654281099,2.5811308562197093,48.46,520315.62,521315.62
60,80,2.2,0.03,329,0.5531914893617021,2.6177203647416416,48.09,33458.41,34458.41
60,70,1.7,0.06,905,0.6320441988950276,2.286055248618785,48.07,6382352901.86,6382353901.86
30,70,2.0,0.03,634,0.556782334384858,2.6013564668769718,48.05,697533.14,698533.14
50,80,1.8,0.06,638,0.6081504702194357,2.3327429467084637,48.02,85327046.56,85328046.56
50,70,2.0,0.03,604,0.5579470198675497,2.583162251655629,47.85,464531.02,465531.02
30,80,2.0,0.02,486,0.5740740740740741,2.519094650205761,47.77,33087.3,34087.3
30,80,1.8,0.04,651,0.6067588325652842,2.3568663594470043,47.71,5299098.72,5300098.72
30,80,1.5,0.04,1101,0.6966394187102634,2.0606993642143507,47.63,422051465.2,422052465.2
30,80,2.2,0.03,355,0.543661971830986,2.6821690140845074,47.62,44178.43,45178.43
70,70,2.0,0.06,472,0.5741525423728814,2.4814406779661016,47.56,7609979.89,7610979.89
70,50,2.0,0.06,472,0.5741525423728814,2.4814406779661016,47.56,7609979.89,7610979.89
70,60,2.0,0.06,472,0.5741525423728814,2.4814406779661016,47.56,7609979.89,7610979.89
60,80,1.5,0.06,1060,0.7018867924528301,2.0282924528301884,47.49,21022774174.55,21022775174.55
50,80,2.2,0.04,345,0.5449275362318841,2.64368115942029,47.4,103075.92,104075.92
60,80,2.0,0.02,456,0.5789473684210527,2.467061403508772,47.17,24900.43,25900.43
30,70,1.7,0.06,989,0.6289180990899899,2.322608695652174,47.07,34440495422.95,34440496422.95
50,70,1.7,0.06,953,0.6306400839454355,2.3056873032528857,46.97,15564105812.06,15564106812.06
50,80,1.5,0.06,1086,0.6979742173112339,2.043793738489871,46.94,25723589521.79,25723590521.79
60,70,1.8,0.06,772,0.6010362694300518,2.3795336787564767,46.93,837576356.79,837577356.79
70,80,2.0,0.03,430,0.5790697674418605,2.442581395348837,46.87,77791.79,78791.79
60,80,1.7,0.04,734,0.6485013623978202,2.2223705722070846,46.84,14591974.33,14592974.33
30,80,1.7,0.03,773,0.6429495472186287,2.259961190168176,46.7,2715999.58,2716999.58
80,60,2.0,0.04,344,0.5959302325581395,2.379563953488372,46.59,123700.05,124700.05
80,80,2.0,0.04,344,0.5959302325581395,2.379563953488372,46.59,123700.05,124700.05
80,70,2.0,0.04,344,0.5959302325581395,2.379563953488372,46.59,123700.05,124700.05
80,50,2.0,0.04,344,0.5959302325581395,2.379563953488372,46.59,123700.05,124700.05
60,50,1.7,0.06,990,0.6292929292929293,2.2983333333333333,46.39,23184772364.45,23184773364.45
60,60,1.7,0.06,990,0.6292929292929293,2.2983333333333333,46.39,23184772364.45,23184773364.45
30,80,1.5,0.03,1101,0.6966394187102634,2.0606993642143507,46.2,25909801.18,25910801.18
60,50,2.0,0.02,619,0.5573505654281099,2.5811308562197093,46.19,70314.73,71314.73
60,60,2.0,0.02,619,0.5573505654281099,2.5811308562197093,46.19,70314.73,71314.73
70,70,2.0,0.04,472,0.5741525423728814,2.4814406779661016,46.12,545425.63,546425.63
70,60,2.0,0.04,472,0.5741525423728814,2.4814406779661016,46.12,545425.63,546425.63
70,50,2.0,0.04,472,0.5741525423728814,2.4814406779661016,46.12,545425.63,546425.63
50,80,2.0,0.02,475,0.5747368421052632,2.4884631578947367,45.87,27281.15,28281.15
50,80,1.7,0.04,759,0.6442687747035574,2.2387615283267452,45.85,17444987.82,17445987.82
30,70,2.0,0.02,634,0.556782334384858,2.6013564668769718,45.85,86766.97,87766.97
50,80,2.2,0.03,345,0.5449275362318841,2.64368115942029,45.75,34577.09,35577.09
30,70,1.8,0.06,844,0.5971563981042654,2.4222037914691943,45.73,4149222958.72,4149223958.72
60,80,1.8,0.04,616,0.612012987012987,2.3141883116883117,45.69,3097286.64,3098286.64
60,70,1.5,0.06,1256,0.6847133757961783,2.092277070063694,45.67,278174737350.13,278174738350.13
50,70,1.8,0.06,812,0.5997536945812808,2.403374384236453,45.53,1920459969.01,1920460969.01
60,70,2.0,0.02,571,0.5604203152364273,2.5549036777583187,45.53,48091.5,49091.5
60,80,2.2,0.02,329,0.5531914893617021,2.6177203647416416,45.43,10198.64,11198.64
60,80,1.5,0.04,1060,0.7018867924528301,2.0282924528301884,45.41,237578942.44,237579942.44
70,80,2.2,0.06,307,0.5472312703583062,2.589902280130293,45.33,294669.48,295669.48
30,80,1.8,0.03,651,0.6067588325652842,2.3568663594470043,45.27,760402.51,761402.51
50,70,2.0,0.02,604,0.5579470198675497,2.583162251655629,45.2,65318.64,66318.64
30,70,1.5,0.06,1361,0.6811168258633358,2.12287288758266,45.17,1583371271288.05,1583371272288.05
60,80,1.7,0.03,734,0.6485013623978202,2.2223705722070846,45.13,1736461.31,1737461.31
60,50,1.8,0.06,842,0.5973871733966746,2.395938242280285,45.08,2707824849.17,2707825849.17
60,60,1.8,0.06,842,0.5973871733966746,2.395938242280285,45.08,2707824849.17,2707825849.17
80,80,2.0,0.03,344,0.5959302325581395,2.379563953488372,45.04,39218.63,40218.63
80,50,2.0,0.03,344,0.5959302325581395,2.379563953488372,45.04,39218.63,40218.63
80,60,2.0,0.03,344,0.5959302325581395,2.379563953488372,45.04,39218.63,40218.63
80,70,2.0,0.03,344,0.5959302325581395,2.379563953488372,45.04,39218.63,40218.63
30,80,2.2,0.02,355,0.543661971830986,2.6821690140845074,45.0,12520.38,13520.38
50,70,1.5,0.06,1322,0.6830559757942511,2.106558245083207,44.99,715546003401.2,715546004401.2
60,70,1.7,0.04,905,0.6320441988950276,2.286055248618785,44.95,87753998.49,87754998.49
