date,league,home_team,away_team,bet,our_prob,odds,ev,stake,actual,won,profit,bankroll,clv
2026-01-03,Premier League,Wolves,West Ham,away,0.482,2.9,0.398,47.17,home,✗,-47.17,1132.09,
2026-01-03,La Liga,Elche,Villarreal,away,0.53,2.22,0.175,40.72,away,✓,49.59,1181.68,
2026-01-03,Ligue 1,Nice,Strasbourg,away,0.561,2.3,0.293,47.27,draw,✗,-47.27,1134.41,
2026-01-04,La Liga,Sevilla,Levante,away,0.268,5.03,0.347,24.4,away,✓,98.31,1232.72,
2026-01-04,Ligue 1,Le Havre,Angers,away,0.375,3.18,0.193,27.29,home,✗,-27.29,1205.43,
2026-01-06,Serie A,Pisa,Como,away,0.623,1.88,0.171,48.22,away,✓,42.45,1247.88,
2026-01-06,Premier League,West Ham,Nottingham Forest,away,0.503,2.44,0.23,49.74,away,✓,71.78,1319.66,
2026-01-10,Bundesliga,SC Freiburg,Hamburger SV,home,0.655,1.83,0.201,52.79,home,✓,43.99,1363.64,
2026-01-14,Bundesliga,VfL Wolfsburg,FC St. Pauli,home,0.67,1.94,0.302,54.55,home,✓,51.52,1415.17,
2026-01-16,Ligue 1,Monaco,Lorient,away,0.246,5.01,0.233,20.59,away,✓,82.56,1497.72,
2026-01-17,Premier League,Tottenham,West Ham,away,0.258,4.59,0.185,19.32,away,✓,69.26,1566.98,
2026-01-17,Premier League,Chelsea,Brentford,home,0.591,1.98,0.171,62.68,home,✓,61.53,1628.51,
2026-01-18,Premier League,Wolves,Newcastle,away,0.666,1.87,0.242,65.14,draw,✗,-65.14,1563.37,
2026-01-23,Bundesliga,FC St. Pauli,Hamburger SV,away,0.453,2.78,0.257,56.58,draw,✗,-56.58,1506.79,
2026-01-23,La Liga,Levante,Elche,away,0.385,3.43,0.319,49.51,home,✗,-49.51,1457.28,
2026-01-24,Bundesliga,Bayern München,FC Augsburg,away,0.089,17.87,0.596,12.87,away,✓,217.14,1674.42,
2026-01-24,Bundesliga,1. FC Heidenheim,RB Leipzig,away,0.688,1.73,0.193,66.98,away,✓,49.12,1723.54,
