feature,gain,weight,category
away_odds,25.4769229888916,66.0,other
market_away_prob,14.26392936706543,165.0,market_odds
market_home_prob,13.950594902038574,201.0,market_odds
home_odds,11.28421688079834,67.0,other
market_home_edge,10.3134183883667,97.0,market_odds
draw_odds,5.981395721435547,41.0,other
market_certainty,5.547296047210693,146.0,market_odds
market_draw_prob,4.9191718101501465,214.0,market_odds
away_away_form_wins,3.4587273597717285,38.0,form_basic
away_xg_against_avg_10,3.456914186477661,134.0,xg
away_form_wins,3.336230993270874,25.0,form_basic
home_xg_diff_avg_10,3.3345119953155518,71.0,xg
away_xg_ratio_10,3.3259336948394775,82.0,xg
home_xg_ratio,3.3022570610046387,53.0,xg
away_gk_saves_avg,3.25803542137146,53.0,match_stats
home_xg_for_avg_10,3.2537617683410645,123.0,xg
delta_passes_acc_for_avg,3.2031469345092773,102.0,match_stats
home_rest_days,3.1985442638397217,92.0,rest_days
away_passes_acc_for_avg,3.1707394123077393,90.0,match_stats
away_xg_diff_avg_10,3.1604955196380615,63.0,xg
home_xg_ratio_10,3.1462855339050293,68.0,xg
delta_pass_accuracy_pct,3.1454832553863525,111.0,efficiency
elo_home_win_prob,3.143493890762329,25.0,elo
away_rest_days,3.138463020324707,113.0,rest_days
delta_shots_box_for_avg,3.129179000854492,84.0,efficiency
delta_shots_ot_against_avg,3.1181623935699463,103.0,match_stats
away_xg_for_avg_10,3.106264591217041,107.0,xg
delta_gk_saves_avg,3.1040711402893066,94.0,match_stats
home_xg_diff_avg,3.1007165908813477,73.0,xg
away_form_draws,3.0473873615264893,103.0,form_basic
delta_possession_avg,3.0449655055999756,111.0,match_stats
away_xg_ratio,3.037675142288208,67.0,xg
home_pass_accuracy_pct,3.0357563495635986,116.0,efficiency
home_shot_conversion_rate,3.0133581161499023,140.0,efficiency
delta_elo_momentum,3.0035033226013184,157.0,elo
home_table_position,2.9969213008880615,121.0,standings
delta_shot_conversion_rate,2.9901227951049805,111.0,efficiency
home_failed_to_score_rate,2.989570379257202,56.0,form_advanced
delta_shots_box_against_avg,2.9877939224243164,131.0,efficiency
away_table_points,2.9855806827545166,89.0,standings
delta_shots_box_ratio,2.983405351638794,139.0,efficiency
delta_btts_rate,2.9810266494750977,118.0,form_advanced
