ODDS_MIN,GAP_MIN,EV_MIN_%,N_all,WR_all_%,FlatROI_all_%,BK_all_$,N_F1,WR_F1_%,FlatROI_F1_%,KellyROI_F1_%,N_F2,WR_F2_%,FlatROI_F2_%,KellyROI_F2_%,MaxDD_F2_%,Avg_F1_F2_%
2.6,100,25,14,28.6,-18.7,883.85,3,66.7,92.7,92.4,5,40.0,12.0,7.9,7.8,52.3
2.6,100,7,14,28.6,-18.7,883.85,3,66.7,92.7,92.4,5,40.0,12.0,7.9,7.8,52.3
2.6,100,15,14,28.6,-18.7,883.85,3,66.7,92.7,92.4,5,40.0,12.0,7.9,7.8,52.3
2.6,100,12,14,28.6,-18.7,883.85,3,66.7,92.7,92.4,5,40.0,12.0,7.9,7.8,52.3
2.6,100,20,14,28.6,-18.7,883.85,3,66.7,92.7,92.4,5,40.0,12.0,7.9,7.8,52.3
2.6,100,10,14,28.6,-18.7,883.85,3,66.7,92.7,92.4,5,40.0,12.0,7.9,7.8,52.3
2.6,100,18,14,28.6,-18.7,883.85,3,66.7,92.7,92.4,5,40.0,12.0,7.9,7.8,52.3
2.6,100,5,14,28.6,-18.7,883.85,3,66.7,92.7,92.4,5,40.0,12.0,7.9,7.8,52.3
2.6,100,3,14,28.6,-18.7,883.85,3,66.7,92.7,92.4,5,40.0,12.0,7.9,7.8,52.3
2.1,120,18,33,60.6,35.1,1535.58,13,61.5,34.6,34.1,10,70.0,56.5,57.5,7.8,45.6
2.1,120,5,33,60.6,35.1,1535.58,13,61.5,34.6,34.1,10,70.0,56.5,57.5,7.8,45.6
2.1,120,7,33,60.6,35.1,1535.58,13,61.5,34.6,34.1,10,70.0,56.5,57.5,7.8,45.6
2.1,120,10,33,60.6,35.1,1535.58,13,61.5,34.6,34.1,10,70.0,56.5,57.5,7.8,45.6
2.1,120,12,33,60.6,35.1,1535.58,13,61.5,34.6,34.1,10,70.0,56.5,57.5,7.8,45.6
2.1,120,15,33,60.6,35.1,1535.58,13,61.5,34.6,34.1,10,70.0,56.5,57.5,7.8,45.6
2.1,120,20,33,60.6,35.1,1535.58,13,61.5,34.6,34.1,10,70.0,56.5,57.5,7.8,45.6
2.1,120,25,33,60.6,35.1,1535.58,13,61.5,34.6,34.1,10,70.0,56.5,57.5,7.8,45.6
2.1,120,3,33,60.6,35.1,1535.58,13,61.5,34.6,34.1,10,70.0,56.5,57.5,7.8,45.6
2.6,110,7,2,50.0,45.0,1032.96,1,100.0,190.0,190.0,1,0.0,-100.0,-100.0,4.0,45.0
2.6,110,3,2,50.0,45.0,1032.96,1,100.0,190.0,190.0,1,0.0,-100.0,-100.0,4.0,45.0
2.6,110,5,2,50.0,45.0,1032.96,1,100.0,190.0,190.0,1,0.0,-100.0,-100.0,4.0,45.0
2.6,110,10,2,50.0,45.0,1032.96,1,100.0,190.0,190.0,1,0.0,-100.0,-100.0,4.0,45.0
2.6,110,12,2,50.0,45.0,1032.96,1,100.0,190.0,190.0,1,0.0,-100.0,-100.0,4.0,45.0
2.6,110,15,2,50.0,45.0,1032.96,1,100.0,190.0,190.0,1,0.0,-100.0,-100.0,4.0,45.0
2.6,110,18,2,50.0,45.0,1032.96,1,100.0,190.0,190.0,1,0.0,-100.0,-100.0,4.0,45.0
2.6,110,20,2,50.0,45.0,1032.96,1,100.0,190.0,190.0,1,0.0,-100.0,-100.0,4.0,45.0
2.6,110,25,2,50.0,45.0,1032.96,1,100.0,190.0,190.0,1,0.0,-100.0,-100.0,4.0,45.0
2.0,120,7,40,57.5,26.6,1469.92,13,61.5,34.6,34.1,15,66.7,44.7,44.9,15.1,39.6
2.0,120,12,40,57.5,26.6,1469.92,13,61.5,34.6,34.1,15,66.7,44.7,44.9,15.1,39.6
