config,mode,N_all,N_F1,N_F2,F1_%,F2_%,Avg_%,KellyF2_%,MaxDD_%
ODDS≥2.20 GAP≥90,WITH inj,180,41,57,33.1,11.0,22.0,8.9,20.0
ODDS≥2.20 GAP≥90,NO  inj,172,43,50,27.0,5.7,16.3,2.8,28.4
ODDS≥2.20 GAP≥80,WITH inj,258,60,79,24.6,6.9,15.8,4.4,30.4
ODDS≥2.20 GAP≥80,NO  inj,255,59,76,26.7,5.3,16.0,2.5,29.1
ODDS≥2.10 GAP≥90,WITH inj,244,55,79,34.1,6.9,20.5,4.8,28.4
ODDS≥2.10 GAP≥90,NO  inj,237,57,73,29.5,4.3,16.9,1.6,33.3
ODDS≥2.10 GAP≥110,WITH inj,76,23,23,47.1,17.0,32.0,15.0,20.5
ODDS≥2.10 GAP≥110,NO  inj,64,17,19,47.8,18.7,33.3,16.4,19.7
ODDS≥2.00 GAP≥110,WITH inj,95,25,29,43.5,13.6,28.6,11.7,23.7
ODDS≥2.00 GAP≥110,NO  inj,80,17,24,47.8,19.2,33.5,16.8,23.0
