date,league,side,odds,gap,n_factors,won,p_elo,odds_bucket,gap_bucket
2023-10-21 16:30:00,Premier League,away,2.3,100,19,False,0.6198502382421428,2.20-2.30,90-100
2024-08-25 13:00:00,Premier League,away,2.5,113,22,False,0.6521045783003696,2.40-2.50,110+
2024-08-31 19:00:00,Ligue 1,away,2.2,81,18,True,0.5219565691183341,2.20-2.30,80-90
2024-09-22 15:00:00,Ligue 1,away,2.4,105,17,False,0.5823115666452656,2.30-2.40,100-110
2024-09-22 18:45:00,Ligue 1,away,2.35,132,24,True,0.5783012828435232,2.30-2.40,110+
2024-09-26 17:00:00,La Liga,away,2.2,89,13,False,0.5831195769628998,2.20-2.30,80-90
2024-09-27 19:00:00,La Liga,away,2.5,85,16,True,0.5919071837864036,2.40-2.50,80-90
2024-10-05 12:00:00,La Liga,away,2.3,115,20,False,0.599731126173814,2.20-2.30,110+
2024-10-05 16:30:00,La Liga,away,2.3,88,15,True,0.5836454102099777,2.20-2.30,80-90
2024-10-05 19:00:00,Ligue 1,away,2.5,124,22,True,0.6188538770607402,2.40-2.50,110+
2024-10-20 13:00:00,Serie A,away,2.25,82,14,True,0.5842865236144755,2.20-2.30,80-90
2024-10-20 15:00:00,Ligue 1,away,2.2,96,16,False,0.6309537966293823,2.20-2.30,90-100
2024-10-27 16:30:00,La Liga,away,2.25,87,16,False,0.5733008221879595,2.20-2.30,80-90
2024-10-31 19:45:00,Serie A,away,2.4,80,11,True,0.58103099339897,2.30-2.40,80-90
2024-11-10 16:00:00,Ligue 1,away,2.5,107,20,False,0.6211992548462272,2.40-2.50,100-110
2024-11-10 16:00:00,Ligue 1,away,2.25,88,18,True,0.5715751547174437,2.20-2.30,80-90
2024-11-24 14:30:00,Bundesliga,away,2.3,102,17,True,0.612273468579523,2.20-2.30,100-110
2024-11-30 17:30:00,La Liga,away,2.2,81,15,False,0.588512372434034,2.20-2.30,80-90
2024-12-01 15:30:00,Primeira Liga,away,2.3,86,14,False,0.5789506579163921,2.20-2.30,80-90
2024-12-01 17:30:00,La Liga,away,2.45,114,19,True,0.5884964420698784,2.40-2.50,110+
2024-12-04 20:00:00,La Liga,away,2.25,87,19,False,0.5950922866647006,2.20-2.30,80-90
2024-12-07 14:30:00,Bundesliga,away,2.25,103,18,True,0.6718537466155732,2.20-2.30,100-110
2024-12-14 17:30:00,Bundesliga,away,2.5,83,15,True,0.5924464860040562,2.40-2.50,80-90
2024-12-14 18:00:00,Primeira Liga,away,2.3,85,13,False,0.621935922663109,2.20-2.30,80-90
2024-12-14 20:00:00,Ligue 1,away,2.2,112,17,False,0.6061651097622909,2.20-2.30,110+
2024-12-15 14:00:00,Ligue 1,away,2.25,96,15,False,0.6948033333349413,2.20-2.30,90-100
2024-12-15 15:30:00,Primeira Liga,away,2.3,113,20,False,0.7080295833819441,2.20-2.30,110+
2024-12-21 14:00:00,Serie A,away,2.4,100,18,True,0.61703347066538,2.30-2.40,90-100
2024-12-28 19:45:00,Serie A,away,2.35,85,21,False,0.5746127093532462,2.30-2.40,80-90
2025-01-04 17:00:00,Serie A,away,2.45,85,20,True,0.5719549334673999,2.40-2.50,80-90
2025-01-10 19:45:00,Bundesliga,away,2.25,108,21,True,0.5829381267742553,2.20-2.30,100-110
2025-01-11 13:00:00,La Liga,away,2.35,99,15,True,0.5738231323778126,2.30-2.40,90-100
2025-01-11 20:05:00,Ligue 1,away,2.3,100,22,True,0.6794580052903285,2.20-2.30,90-100
2025-01-19 20:00:00,La Liga,away,2.5,101,22,False,0.6655919789354381,2.40-2.50,100-110
2025-01-25 18:00:00,Ligue 1,away,2.35,87,14,False,0.586482139524291,2.30-2.40,80-90
2025-01-26 14:00:00,Ligue 1,away,2.25,105,17,True,0.6492428299893006,2.20-2.30,100-110
2025-01-27 20:15:00,Primeira Liga,away,2.4,95,16,False,0.5817907067810135,2.30-2.40,90-100
2025-02-01 17:30:00,Bundesliga,away,2.45,87,16,False,0.6476765846723573,2.40-2.50,80-90
2025-02-02 19:45:00,Serie A,away,2.45,100,23,False,0.6921410689908494,2.40-2.50,90-100
2025-02-02 20:00:00,La Liga,away,2.35,118,20,False,0.6488431112524593,2.30-2.40,110+
