config,odds_min,gap_min,struct_min,N_all,N_F1,N_F2,WR_all_%,FlatROI_all_%,FlatROI_F1_%,FlatROI_F2_%,KellyROI_F2_%,MaxDD_F2_%,Avg_F1_F2_%
ODDS≥2.20 GAP≥90,2.2,90,0,180,41,57,50.0,18.8,33.1,11.0,8.9,20.0,22.0
ODDS≥2.20 GAP≥90,2.2,90,12,180,41,57,50.0,18.8,33.1,11.0,8.9,20.0,22.0
ODDS≥2.20 GAP≥90,2.2,90,20,180,41,57,50.0,18.8,33.1,11.0,8.9,20.0,22.0
ODDS≥2.20 GAP≥90,2.2,90,25,180,41,57,50.0,18.8,33.1,11.0,8.9,20.0,22.0
ODDS≥2.20 GAP≥90,2.2,90,30,180,41,57,50.0,18.8,33.1,11.0,8.9,20.0,22.0
ODDS≥2.20 GAP≥90,2.2,90,35,178,41,56,50.0,18.9,33.1,13.0,10.9,20.0,23.0
ODDS≥2.20 GAP≥90,2.2,90,40,171,40,54,49.7,18.2,30.8,12.6,10.6,20.0,21.7
ODDS≥2.10 GAP≥90,2.1,90,0,244,55,79,49.6,14.7,34.1,6.9,4.8,28.4,20.5
ODDS≥2.10 GAP≥90,2.1,90,12,244,55,79,49.6,14.7,34.1,6.9,4.8,28.4,20.5
ODDS≥2.10 GAP≥90,2.1,90,20,244,55,79,49.6,14.7,34.1,6.9,4.8,28.4,20.5
ODDS≥2.10 GAP≥90,2.1,90,25,244,55,79,49.6,14.7,34.1,6.9,4.8,28.4,20.5
ODDS≥2.10 GAP≥90,2.1,90,30,244,55,79,49.6,14.7,34.1,6.9,4.8,28.4,20.5
ODDS≥2.10 GAP≥90,2.1,90,35,242,55,78,49.6,14.7,34.1,8.3,6.2,28.4,21.2
ODDS≥2.10 GAP≥90,2.1,90,40,234,54,76,49.1,13.6,32.4,7.9,5.9,28.4,20.2
ODDS≥2.20 GAP≥80,2.2,80,0,258,60,79,45.7,10.5,24.6,6.9,4.4,30.4,15.8
ODDS≥2.20 GAP≥80,2.2,80,12,258,60,79,45.7,10.5,24.6,6.9,4.4,30.4,15.8
ODDS≥2.20 GAP≥80,2.2,80,20,258,60,79,45.7,10.5,24.6,6.9,4.4,30.4,15.8
ODDS≥2.20 GAP≥80,2.2,80,25,258,60,79,45.7,10.5,24.6,6.9,4.4,30.4,15.8
ODDS≥2.20 GAP≥80,2.2,80,30,258,60,79,45.7,10.5,24.6,6.9,4.4,30.4,15.8
ODDS≥2.20 GAP≥80,2.2,80,35,255,60,77,45.9,10.9,24.6,9.7,7.5,29.2,17.2
ODDS≥2.20 GAP≥80,2.2,80,40,248,59,75,45.6,10.2,22.9,9.4,7.2,29.2,16.1
ODDS≥2.10 GAP≥110,2.1,110,0,76,23,23,56.6,27.5,47.1,17.0,15.0,20.5,32.0
ODDS≥2.10 GAP≥110,2.1,110,12,76,23,23,56.6,27.5,47.1,17.0,15.0,20.5,32.0
ODDS≥2.10 GAP≥110,2.1,110,20,76,23,23,56.6,27.5,47.1,17.0,15.0,20.5,32.0
ODDS≥2.10 GAP≥110,2.1,110,25,76,23,23,56.6,27.5,47.1,17.0,15.0,20.5,32.0
ODDS≥2.10 GAP≥110,2.1,110,30,76,23,23,56.6,27.5,47.1,17.0,15.0,20.5,32.0
ODDS≥2.10 GAP≥110,2.1,110,35,76,23,23,56.6,27.5,47.1,17.0,15.0,20.5,32.0
ODDS≥2.10 GAP≥110,2.1,110,40,75,23,22,57.3,29.2,47.1,22.3,20.1,20.5,34.7
ODDS≥2.00 GAP≥110,2.0,110,0,95,25,29,52.6,16.9,43.5,13.6,11.7,23.7,28.6
ODDS≥2.00 GAP≥110,2.0,110,12,95,25,29,52.6,16.9,43.5,13.6,11.7,23.7,28.6
ODDS≥2.00 GAP≥110,2.0,110,20,95,25,29,52.6,16.9,43.5,13.6,11.7,23.7,28.6
ODDS≥2.00 GAP≥110,2.0,110,25,95,25,29,52.6,16.9,43.5,13.6,11.7,23.7,28.6
ODDS≥2.00 GAP≥110,2.0,110,30,95,25,29,52.6,16.9,43.5,13.6,11.7,23.7,28.6
ODDS≥2.00 GAP≥110,2.0,110,35,95,25,29,52.6,16.9,43.5,13.6,11.7,23.7,28.6
ODDS≥2.00 GAP≥110,2.0,110,40,94,25,28,53.2,18.1,43.5,17.7,15.6,23.7,30.6
