label,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF1_%,KellyF2_%,MaxDD_F2_%,BK_all_$,Avg_ROI_%
CURRENT (baseline),1.65,80,765,149,240,51.0,16.6,0.9,20.7,-2.6,53.1,1983.84,8.7
CURRENT (baseline),1.65,90,637,123,206,53.1,20.0,-0.5,23.6,-4.1,47.0,3043.32,9.7
CURRENT (baseline),1.65,110,350,79,103,54.9,21.8,-4.3,26.0,-6.9,44.0,1466.33,8.7
CURRENT (baseline),1.75,80,626,127,201,48.9,15.6,1.1,18.2,-2.3,51.3,1502.8,8.4
CURRENT (baseline),1.75,90,500,101,168,51.0,19.5,-0.1,21.6,-3.8,42.7,2364.18,9.7
CURRENT (baseline),1.75,110,236,58,73,52.5,22.5,-4.3,25.1,-7.3,40.3,1343.07,9.1
CURRENT (baseline),1.9,80,502,103,160,48.2,17.9,6.9,19.3,5.2,39.2,2181.84,12.4
CURRENT (baseline),1.9,90,379,77,128,50.7,23.7,6.0,24.4,3.7,37.8,3361.79,14.8
CURRENT (baseline),1.9,110,142,37,43,54.2,28.1,12.4,28.8,11.5,24.7,2023.39,20.3
CURRENT (baseline),2.0,80,409,85,132,46.5,20.2,4.8,22.0,2.5,36.4,1808.55,12.5
CURRENT (baseline),2.0,90,297,61,102,49.5,30.9,4.7,32.0,2.3,34.1,3034.83,17.8
CURRENT (baseline),2.0,110,95,25,29,52.6,43.5,13.6,43.2,11.7,23.7,1727.54,28.6
CURRENT (baseline),2.1,80,336,76,105,46.1,26.5,6.6,28.4,4.5,37.6,2092.23,16.6
CURRENT (baseline),2.1,90,244,55,79,49.6,34.1,6.9,35.3,4.8,28.4,3213.91,20.5
CURRENT (baseline),2.1,110,76,23,23,56.6,47.1,17.0,46.3,15.0,20.5,2130.29,32.0
CURRENT (baseline),2.2,80,258,60,79,45.7,24.6,6.9,25.0,4.4,30.4,2182.46,15.8
CURRENT (baseline),2.2,90,180,41,57,50.0,33.1,11.0,33.5,8.9,20.0,3149.47,22.0
CURRENT (baseline),2.2,110,44,14,14,63.6,50.6,16.4,47.3,13.7,14.2,2205.47,33.5
CURRENT (baseline),2.4,80,135,30,44,40.0,4.3,-0.9,1.3,-4.5,25.6,1001.07,1.7
CURRENT (baseline),2.4,90,79,14,31,43.0,12.7,8.7,10.4,6.1,18.5,1221.83,10.7
CURRENT (baseline),2.6,80,64,12,22,32.8,14.2,-12.3,11.1,-15.5,27.9,723.76,0.9
CURRENT (baseline),2.6,90,28,4,14,32.1,44.5,19.3,42.7,16.0,15.1,857.78,31.9
A: inj↓7 (best 2.10+),1.65,80,763,149,238,51.0,16.6,0.6,20.7,-2.9,53.9,1949.52,8.6
A: inj↓7 (best 2.10+),1.65,90,632,123,201,53.2,20.0,-0.5,23.6,-3.9,42.9,3076.64,9.8
A: inj↓7 (best 2.10+),1.65,110,341,74,100,55.4,24.4,-1.5,27.0,-3.8,39.2,1596.82,11.5
A: inj↓7 (best 2.10+),1.75,80,624,127,199,48.9,15.6,0.9,18.2,-2.6,51.3,1476.81,8.2
A: inj↓7 (best 2.10+),1.75,90,495,101,163,51.1,19.5,-0.0,21.6,-3.5,38.3,2390.06,9.7
A: inj↓7 (best 2.10+),1.75,110,227,53,70,53.3,26.2,-0.2,26.8,-2.5,34.1,1462.58,13.0
A: inj↓7 (best 2.10+),1.9,80,500,103,158,48.2,17.9,6.7,19.3,4.9,39.2,2144.1,12.3
A: inj↓7 (best 2.10+),1.9,90,374,77,123,50.8,23.7,6.3,24.4,3.9,38.3,3398.6,15.0
A: inj↓7 (best 2.10+),1.9,110,134,33,40,55.2,31.1,20.8,30.8,20.5,24.3,2172.53,26.0
A: inj↓7 (best 2.10+),2.0,80,407,85,130,46.4,20.2,4.5,22.0,2.2,36.4,1777.27,12.4
A: inj↓7 (best 2.10+),2.0,90,292,61,97,49.7,30.9,5.1,32.0,2.6,34.7,3068.06,18.0
A: inj↓7 (best 2.10+),2.0,110,88,21,27,53.4,51.1,22.0,49.2,20.2,23.7,1780.68,36.6
A: inj↓7 (best 2.10+),2.1,80,334,76,103,46.1,26.5,6.3,28.4,4.1,37.6,2056.04,16.4
A: inj↓7 (best 2.10+),2.1,90,239,55,74,49.8,34.1,7.6,35.3,5.2,29.0,3249.1,20.8
A: inj↓7 (best 2.10+),2.1,110,71,21,21,57.7,51.1,28.1,49.2,26.2,20.5,2196.52,39.6
A: inj↓7 (best 2.10+),2.2,80,256,60,77,45.7,24.6,6.5,25.0,3.9,30.4,2144.71,15.5
A: inj↓7 (best 2.10+),2.2,90,175,41,52,50.3,33.1,12.3,33.5,9.8,23.8,3183.95,22.7
A: inj↓7 (best 2.10+),2.2,110,41,14,12,65.9,50.6,35.8,47.3,32.6,11.5,2279.13,43.2
A: inj↓7 (best 2.10+),2.4,80,133,30,42,39.8,4.3,-2.1,1.3,-5.9,26.4,983.76,1.1
A: inj↓7 (best 2.10+),2.4,90,75,14,27,44.0,12.7,15.1,10.4,12.5,11.5,1296.97,13.9
A: inj↓7 (best 2.10+),2.6,80,63,12,21,33.3,14.2,-8.1,11.1,-11.5,24.9,753.92,3.0
A: inj↓7 (best 2.10+),2.6,90,24,4,10,33.3,44.5,40.8,42.7,35.2,15.1,910.53,42.6
"B: inj↓5, poss=0 (best 1.90)",1.65,80,735,145,218,50.7,15.1,-0.6,18.3,-4.2,57.1,1517.49,7.3
"B: inj↓5, poss=0 (best 1.90)",1.65,90,595,113,183,52.8,20.5,-4.3,23.3,-7.1,51.9,2234.19,8.1
"B: inj↓5, poss=0 (best 1.90)",1.65,110,302,64,82,54.6,18.9,-0.1,21.1,-2.2,38.9,1201.76,9.4
"B: inj↓5, poss=0 (best 1.90)",1.75,80,597,123,180,48.6,13.8,-0.2,15.4,-3.8,52.3,1178.85,6.8
"B: inj↓5, poss=0 (best 1.90)",1.75,90,461,91,148,50.5,20.0,-4.4,21.5,-8.0,48.4,1721.89,7.8
"B: inj↓5, poss=0 (best 1.90)",1.75,110,195,45,56,51.8,16.8,4.2,17.1,2.3,32.9,1084.54,10.5
"B: inj↓5, poss=0 (best 1.90)",1.9,80,476,99,140,47.9,15.6,5.4,16.1,3.1,46.4,1740.21,10.5
"B: inj↓5, poss=0 (best 1.90)",1.9,90,345,67,112,50.4,25.0,2.3,24.8,-0.7,40.1,2631.93,13.7
"B: inj↓5, poss=0 (best 1.90)",1.9,110,109,27,29,55.0,20.9,39.4,20.6,39.7,17.6,1879.88,30.2
"B: inj↓5, poss=0 (best 1.90)",2.0,80,387,82,113,46.3,18.5,3.3,19.4,0.8,43.3,1540.38,10.9
"B: inj↓5, poss=0 (best 1.90)",2.0,90,269,52,88,49.1,31.5,-0.3,31.5,-2.9,39.1,2342.81,15.6
"B: inj↓5, poss=0 (best 1.90)",2.0,110,75,18,21,53.3,38.8,46.7,37.8,44.5,17.2,1619.84,42.7
"B: inj↓5, poss=0 (best 1.90)",2.1,80,316,73,88,45.9,24.7,5.0,25.8,2.7,36.9,1782.56,14.9
"B: inj↓5, poss=0 (best 1.90)",2.1,90,218,46,67,49.5,35.3,3.7,35.4,1.1,34.0,2693.84,19.5
"B: inj↓5, poss=0 (best 1.90)",2.1,110,59,18,16,57.6,38.8,54.7,37.8,52.9,11.2,1918.19,46.7
"B: inj↓5, poss=0 (best 1.90)",2.2,80,239,57,63,45.6,22.3,6.3,21.8,3.9,31.3,1941.25,14.3
"B: inj↓5, poss=0 (best 1.90)",2.2,90,155,33,45,50.3,37.0,7.3,36.3,4.4,29.0,2761.26,22.2
"B: inj↓5, poss=0 (best 1.90)",2.2,110,34,12,10,64.7,37.3,63.0,34.8,59.9,11.5,1926.65,50.2
"B: inj↓5, poss=0 (best 1.90)",2.4,80,122,27,34,38.5,-2.8,-9.9,-6.6,-14.1,30.5,833.81,-6.4
"B: inj↓5, poss=0 (best 1.90)",2.4,90,64,11,22,45.3,20.7,16.4,18.9,13.1,11.5,1342.73,18.5
"B: inj↓5, poss=0 (best 1.90)",2.6,80,57,12,15,31.6,14.2,-25.2,11.1,-28.3,21.7,700.06,-5.5
"B: inj↓5, poss=0 (best 1.90)",2.6,90,21,4,8,28.6,44.5,7.5,42.7,3.4,15.1,829.07,26.0
"C: inj↓5, poss↓5",1.65,80,749,147,229,51.0,16.5,1.0,20.1,-2.5,54.3,1927.86,8.7
"C: inj↓5, poss↓5",1.65,90,610,118,190,53.1,21.1,-2.8,24.2,-6.2,50.4,2668.77,9.1
"C: inj↓5, poss↓5",1.65,110,316,66,89,54.4,17.8,-3.9,20.3,-5.7,45.9,1169.89,7.0
"C: inj↓5, poss↓5",1.75,80,610,125,190,48.9,15.5,1.3,17.5,-2.1,51.3,1460.4,8.4
"C: inj↓5, poss↓5",1.75,90,475,96,154,50.9,20.8,-3.1,22.6,-6.8,47.0,2048.4,8.8
"C: inj↓5, poss↓5",1.75,110,206,46,61,51.5,14.3,-1.2,14.3,-3.4,38.5,1040.68,6.5
