w_inj,w_poss,w_xgr,w_elo_weak,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF2_%,MaxDD_F2_%,Avg_ROI_%
7,10,8,8,2.6,90,21,3,9,38.1,92.7,56.4,50.9,11.5,74.6
7,10,8,12,2.6,90,22,3,9,36.4,92.7,56.4,50.9,11.5,74.6
7,10,8,10,2.6,90,22,3,9,36.4,92.7,56.4,50.9,11.5,74.6
7,10,5,10,2.6,90,20,3,8,35.0,92.7,40.0,33.8,11.5,66.3
7,10,0,12,2.6,90,20,3,8,35.0,92.7,40.0,33.8,11.5,66.3
7,10,3,12,2.6,90,20,3,8,35.0,92.7,40.0,33.8,11.5,66.3
7,10,3,10,2.6,90,20,3,8,35.0,92.7,40.0,33.8,11.5,66.3
7,10,5,12,2.6,90,20,3,8,35.0,92.7,40.0,33.8,11.5,66.3
10,10,5,12,2.6,90,25,3,13,36.0,92.7,28.5,25.7,11.5,60.6
10,10,8,10,2.6,90,26,3,13,34.6,92.7,28.5,25.7,11.5,60.6
10,10,8,8,2.6,90,25,3,13,36.0,92.7,28.5,25.7,11.5,60.6
10,10,8,12,2.6,90,26,3,13,34.6,92.7,28.5,25.7,11.5,60.6
10,7,8,12,2.6,90,25,3,13,36.0,92.7,28.5,25.7,11.5,60.6
10,10,5,10,2.6,90,25,3,13,36.0,92.7,28.5,25.7,11.5,60.6
10,7,8,10,2.6,90,25,3,13,36.0,92.7,28.5,25.7,11.5,60.6
10,10,5,8,2.6,90,24,3,13,37.5,92.7,28.5,25.7,11.5,60.6
10,7,8,8,2.6,90,24,3,13,37.5,92.7,28.5,25.7,11.5,60.6
3,10,8,12,2.6,90,20,3,7,30.0,92.7,22.9,17.7,11.5,57.8
5,10,8,12,2.6,90,20,3,7,30.0,92.7,22.9,17.7,11.5,57.8
3,10,8,10,2.6,90,20,3,7,30.0,92.7,22.9,17.7,11.5,57.8
0,10,8,10,2.6,90,20,3,7,30.0,92.7,22.9,17.7,11.5,57.8
0,10,8,12,2.6,90,20,3,7,30.0,92.7,22.9,17.7,11.5,57.8
5,10,8,10,2.6,90,20,3,7,30.0,92.7,22.9,17.7,11.5,57.8
10,7,3,8,2.6,90,22,3,12,36.4,92.7,15.2,11.6,11.5,53.9
10,10,3,10,2.6,90,24,3,12,33.3,92.7,15.2,11.6,11.5,53.9
10,7,0,12,2.6,90,24,3,12,33.3,92.7,15.2,11.6,11.5,53.9
10,7,5,10,2.6,90,24,3,12,33.3,92.7,15.2,11.6,11.5,53.9
10,7,5,8,2.6,90,23,3,12,34.8,92.7,15.2,11.6,11.5,53.9
10,7,5,12,2.6,90,24,3,12,33.3,92.7,15.2,11.6,11.5,53.9
10,10,3,12,2.6,90,24,3,12,33.3,92.7,15.2,11.6,11.5,53.9
10,7,0,10,2.6,90,23,3,12,34.8,92.7,15.2,11.6,11.5,53.9
10,10,3,8,2.6,90,22,3,12,36.4,92.7,15.2,11.6,11.5,53.9
10,10,0,8,2.6,90,22,3,12,36.4,92.7,15.2,11.6,11.5,53.9
10,7,0,8,2.6,90,22,3,12,36.4,92.7,15.2,11.6,11.5,53.9
10,10,0,12,2.6,90,24,3,12,33.3,92.7,15.2,11.6,11.5,53.9
10,7,3,12,2.6,90,24,3,12,33.3,92.7,15.2,11.6,11.5,53.9
10,7,3,10,2.6,90,24,3,12,33.3,92.7,15.2,11.6,11.5,53.9
10,10,0,10,2.6,90,23,3,12,34.8,92.7,15.2,11.6,11.5,53.9
7,0,8,15,2.2,110,34,12,10,64.7,37.3,63.0,59.9,11.5,50.2
5,0,8,15,2.2,110,34,12,10,64.7,37.3,63.0,59.9,11.5,50.2
3,7,8,15,2.2,110,36,11,11,66.7,51.2,48.2,44.5,11.5,49.7
3,0,8,15,2.2,110,30,10,9,66.7,42.8,55.6,51.5,11.5,49.2
7,0,8,15,2.1,110,60,18,17,58.3,38.8,58.2,57.2,11.2,48.5
7,0,5,15,2.1,110,56,16,16,57.1,42.4,53.4,52.8,14.7,47.9
7,0,3,15,2.1,110,55,16,16,58.2,42.4,53.4,52.8,14.7,47.9
7,0,0,15,2.1,110,53,16,16,58.5,42.4,53.4,52.8,14.7,47.9
10,0,3,10,2.6,90,23,3,11,30.4,92.7,2.0,-1.6,11.5,47.3
10,0,3,12,2.6,90,23,3,11,30.4,92.7,2.0,-1.6,11.5,47.3
10,3,0,8,2.6,90,21,3,11,33.3,92.7,2.0,-1.6,11.5,47.3
