factor,outcome,n,win_rate,flat_roi
home_elo_weak,away,178,0.5393258426966292,15.775280898876403
home_home_loses,away,759,0.42424242424242425,4.0158102766798445
market_sees_away,away,987,0.5663627152988855,2.698074974670716
home_home_poor,away,1210,0.40578512396694216,2.366942148760332
market_strong_home,home,650,0.76,1.4369230769230774
table_points_away_better,away,941,0.512221041445271,0.6939426142401713
elo_gap_away_large,away,1020,0.5176470588235295,0.6362745098039221
xg_diff_positive,home,828,0.6485507246376812,-0.07608695652174072
market_strong_away,away,496,0.6471774193548387,-0.17943548387096708
injury_adv_away,away,1098,0.33879781420765026,-0.326958105646632
xg_ratio_home,home,926,0.6382289416846653,-0.8293736501079901
elo_win_prob_low,away,1197,0.4903926482873851,-1.3350041771094403
home_failed_to_score,away,1016,0.40551181102362205,-1.3858267716535455
home_strong_form,home,753,0.601593625498008,-1.517928286852593
elo_gap_away_moderate,away,1342,0.47242921013412814,-2.1937406855439647
home_out_of_form,away,1605,0.3881619937694704,-2.2236760124610626
home_elo_falling,away,835,0.38682634730538923,-2.307784431137723
market_favors_home,home,1140,0.6631578947368421,-2.3228070175438607
home_in_form,home,1011,0.5736894164193868,-2.4174085064292803
home_poor_form,away,1255,0.39282868525896414,-2.7171314741035837
home_elo_strong,home,442,0.6787330316742082,-3.108597285067874
home_win_streak_3,home,212,0.6415094339622641,-3.174528301886793
xg_diff_away_positive,away,845,0.5005917159763313,-3.5100591715976313
home_elo_rising,home,845,0.5195266272189349,-3.701775147928995
table_home_higher,home,1050,0.6123809523809524,-4.4085714285714355
away_xg_overperforming,home,856,0.4182242990654206,-4.5689252336448645
table_points_home_better,home,869,0.6317606444188723,-4.8434982738780255
home_scoring_strong,home,636,0.5849056603773585,-5.160377358490561
xg_attack_edge,home,1416,0.4872881355932203,-5.2323446327683625
elo_gap_large,home,957,0.6300940438871473,-5.355276907001052
home_home_form,home,1339,0.5317401045556386,-5.672890216579541
home_home_wins,home,634,0.5946372239747634,-5.7728706624605834
table_away_higher,away,1154,0.4662045060658579,-6.447140381282505
home_defense_solid,home,1141,0.5074496056091148,-6.65556529360211
rest_advantage,home,122,0.4180327868852459,-6.655737704918034
elo_gap_moderate,home,1252,0.5942492012779552,-6.820287539936093
elo_win_prob_high,home,1124,0.604982206405694,-6.899466192170822
xg_ratio_away,away,956,0.47594142259414224,-7.156903765690383
injury_advantage,home,1179,0.45038167938931295,-7.743002544529268
away_elo_strong,away,455,0.5230769230769231,-8.098901098901102
big_injury_adv_away,away,482,0.34439834024896265,-8.298755186721996
away_conceding_lots,home,590,0.5067796610169492,-8.30677966101695
away_out_of_form,home,1515,0.4910891089108911,-8.374257425742574
home_loss_streak_3,away,207,0.37681159420289856,-8.608695652173914
away_clean_sheet_strong,away,201,0.4527363184079602,-9.00995024875622
away_elo_falling,home,834,0.486810551558753,-9.305755395683454
away_away_poor,home,1524,0.49081364829396323,-9.417322834645667
away_away_loses,home,1213,0.48474855729596045,-9.475680131904369
away_rested,away,2931,0.31559194814056635,-9.520641419310824
away_poor_form,home,1189,0.49369217830109335,-9.533221194280902
away_elo_rising,away,849,0.38633686690223795,-9.54063604240283
home_xg_regression,home,747,0.4149933065595716,-9.576974564926378
home_rested,home,2936,0.4322207084468665,-9.592302452316076
home_conceding_lots,away,629,0.3767885532591415,-9.806041335453108
away_defense_solid,away,1180,0.37542372881355934,-10.556779661016954
away_xg_regression,away,716,0.28631284916201116,-10.625698324022352
big_injury_advantage,home,563,0.43872113676731794,-11.072824156305508
away_failed_to_score,home,955,0.49214659685863876,-11.640837696335076
away_in_form,away,1072,0.4076492537313433,-11.64832089552239
away_loss_streak_3,home,180,0.5111111111111111,-11.800000000000004
away_away_form,away,994,0.4044265593561368,-12.21227364185111
away_scoring_strong,away,661,0.44175491679273826,-13.09833585476551
away_elo_weak,home,168,0.5595238095238095,-13.255952380952376
away_win_streak_3,away,274,0.4562043795620438,-13.875912408759126
away_tired,home,212,0.39622641509433965,-14.754716981132074
home_clean_sheet_strong,home,190,0.5473684210526316,-15.52631578947369
xg_away_attack,away,1397,0.3478883321403006,-16.183249821045102
away_strong_form,away,814,0.41646191646191644,-17.223587223587227
away_away_wins,away,688,0.4011627906976744,-17.590116279069782
home_xg_overperforming,away,823,0.24787363304981774,-20.09356014580801
home_tired,away,209,0.2822966507177033,-21.191387559808632
rest_advantage_away,away,117,0.2564102564102564,-30.803418803418797
