date,league,outcome,actual,ws_dominant,ws_weak,ws_gap,odds,p_elo,won,fold
2024-11-30 15:30:00,Primeira Liga,away,home,32,9,23,2.86,0.5462814190038404,False,1
2024-11-30 15:30:00,Eredivisie,home,home,68,2,66,1.69,0.6087327997119835,True,1
2024-11-30 16:00:00,Ligue 1,home,home,32,11,21,1.64,0.47082104787811296,True,1
2024-11-30 17:00:00,Serie A,home,home,70,1,69,1.41,0.5504662106661004,True,1
2024-11-30 17:15:00,Jupiler Pro League,home,home,106,3,103,1.27,0.6245138509249857,True,1
2024-11-30 17:30:00,La Liga,away,home,86,15,71,2.32,0.588512372434034,False,1
2024-11-30 17:45:00,Eredivisie,away,home,54,9,45,4.13,0.5623757580378801,False,1
2024-11-30 18:00:00,Ligue 1,home,home,20,10,10,2.22,0.48112514906188103,True,1
2024-11-30 19:45:00,Serie A,home,home,68,3,65,1.89,0.6574772538522188,True,1
2024-11-30 20:00:00,La Liga,away,away,132,4,128,1.55,0.7266328482486493,True,1
2024-11-30 20:00:00,Eredivisie,home,home,23,14,9,2.8,0.5391586707034187,True,1
2024-11-30 20:30:00,Primeira Liga,home,away,105,11,94,1.3,0.6511381089101348,False,1
2024-12-01 11:15:00,Eredivisie,away,away,81,35,46,1.54,0.5268013640852773,True,1
2024-12-01 11:30:00,Serie A,home,away,35,10,25,2.06,0.5429833107260928,False,1
2024-12-01 13:30:00,Eredivisie,home,home,82,20,62,1.47,0.5573843977552188,True,1
2024-12-01 13:30:00,Eredivisie,home,home,91,5,86,1.76,0.5883918332126044,True,1
2024-12-01 14:00:00,Serie A,away,home,140,6,134,1.85,0.6673325425694145,False,1
2024-12-01 14:00:00,Serie A,away,away,139,6,133,1.81,0.6724022606201219,True,1
2024-12-01 14:00:00,Serie B,away,home,116,10,106,2.4,0.6213039019591744,False,1
2024-12-01 14:00:00,Serie B,away,home,84,7,77,3.5,0.6450743718393839,False,1
2024-12-01 14:30:00,Bundesliga,home,home,30,6,24,2.11,0.5593318419358805,True,1
2024-12-01 15:00:00,Jupiler Pro League,away,home,92,4,88,1.98,0.5781635401100684,False,1
2024-12-01 15:15:00,La Liga,home,home,121,9,112,1.4,0.6985617229330113,True,1
2024-12-01 15:30:00,Primeira Liga,away,home,86,5,81,2.45,0.5789506579163921,False,1
2024-12-01 15:45:00,Eredivisie,away,away,137,18,119,1.85,0.6837106266477273,True,1
2024-12-01 16:00:00,Ligue 1,home,home,29,29,0,1.75,0.45036518182785334,True,1
2024-12-01 16:00:00,Ligue 1,away,away,12,3,9,3.45,0.5249951360903078,True,1
2024-12-01 16:00:00,Ligue 1,home,home,29,17,12,1.78,0.47236622389906635,True,1
2024-12-01 16:15:00,Serie B,away,home,46,5,41,3.72,0.551847689767495,False,1
2024-12-01 16:30:00,Bundesliga,away,away,113,2,111,2.03,0.6821123195626767,True,1
2024-12-01 17:30:00,Jupiler Pro League,away,home,63,34,29,4.38,0.5410116647584997,False,1
2024-12-01 17:30:00,La Liga,away,away,109,5,104,2.58,0.5884964420698784,True,1
2024-12-01 18:00:00,Primeira Liga,away,away,142,6,136,1.29,0.715944620643927,True,1
2024-12-01 19:45:00,Ligue 1,away,home,33,29,4,2.79,0.5332017066426009,False,1
2024-12-01 20:00:00,La Liga,home,home,24,1,23,1.74,0.4906165201580336,True,1
