gap_min,dom_min,odds_min,bets,win_rate,avg_odds,flat_roi,ev
50,60,2.0,632,0.5617088607594937,2.6434493670886074,40.585443037974684,0.4848489324627463
30,60,2.0,683,0.5563689604685212,2.700278184480234,40.383601756954604,0.5023509664750938
50,50,2.0,675,0.5585185185185185,2.6449925925925926,40.349629629629625,0.4772773443072702
50,50,2.2,521,0.5239923224568138,2.813013435700576,40.32629558541267,0.47399744327496585
50,60,2.2,489,0.523517382413088,2.8092024539877296,39.60940695296524,0.4706663153800794
30,70,2.0,548,0.5656934306569343,2.597244525547445,39.41240875912409,0.469244165911876
30,50,2.0,828,0.5458937198067633,2.7252777777777775,39.35144927536231,0.4877120236178205
30,60,2.2,532,0.5169172932330827,2.8774624060150376,39.221804511278194,0.4874100782972468
30,80,2.2,309,0.5469255663430421,2.6686084142394817,39.19093851132686,0.459530168305736
30,80,2.0,423,0.5791962174940898,2.5096926713947987,39.07092198581561,0.453604502344505
30,50,2.2,646,0.5092879256965944,2.9077399380804954,39.012383900928796,0.4808768415301594
30,70,2.2,414,0.5289855072463768,2.765869565217391,38.84299516908213,0.4631049149338373
50,70,2.0,522,0.5670498084291188,2.57544061302682,38.69731800766284,0.4604031062374305
60,60,2.0,534,0.5674157303370787,2.574756554307116,38.60112359550561,0.46095737070235243
60,50,2.0,534,0.5674157303370787,2.574756554307116,38.60112359550561,0.46095737070235243
50,60,1.7,1005,0.6278606965174129,2.3403980099502486,38.49850746268657,0.46944392465533014
50,60,1.8,855,0.5988304093567252,2.4453450292397663,38.49239766081872,0.46434696487808225
50,50,1.8,907,0.5964718853362734,2.450154355016538,38.4851157662624,0.4614481875015952
50,50,1.7,1061,0.6248821866163996,2.3473798303487277,38.46182846371348,0.4668358412075462
30,80,1.7,676,0.6449704142011834,2.25207100591716,38.353550295857985,0.45251916949686644
80,60,2.0,298,0.6006711409395973,2.3678523489932886,38.305369127516784,0.4223005720463042
80,80,2.0,298,0.6006711409395973,2.3678523489932886,38.305369127516784,0.4223005720463042
80,70,2.0,298,0.6006711409395973,2.3678523489932886,38.305369127516784,0.4223005720463042
80,50,2.0,298,0.6006711409395973,2.3678523489932886,38.305369127516784,0.4223005720463042
60,80,2.2,287,0.554006968641115,2.609163763066202,38.198606271777,0.44549490706455086
60,60,2.2,402,0.5323383084577115,2.7393532338308453,38.18407960199005,0.45826266676567395
60,50,2.2,402,0.5323383084577115,2.7393532338308453,38.18407960199005,0.45826266676567395
30,70,1.7,858,0.6305361305361306,2.3181934731934732,38.0932400932401,0.4617047424215257
30,50,1.7,1268,0.6143533123028391,2.4144479495268136,38.079652996845425,0.48332409517459607
50,80,2.2,300,0.55,2.624233333333333,38.06666666666667,0.4433283333333333
50,80,2.0,413,0.5811138014527845,2.4748426150121063,38.06537530266344,0.43816520000703507
50,70,2.2,395,0.5316455696202531,2.7358987341772147,38.02025316455697,0.4545284409549748
30,60,1.7,1080,0.6212962962962963,2.3792314814814817,37.87407407407407,0.4782077074759947
80,50,1.7,513,0.6647173489278753,2.140097465886939,37.81871345029239,0.42255991397163006
80,60,1.7,513,0.6647173489278753,2.140097465886939,37.81871345029239,0.42255991397163006
80,70,1.7,513,0.6647173489278753,2.140097465886939,37.81871345029239,0.42255991397163006
80,80,1.7,513,0.6647173489278753,2.140097465886939,37.81871345029239,0.42255991397163006
60,80,2.0,398,0.5829145728643216,2.4610050251256284,37.80150753768844,0.43455569303805475
50,80,1.7,663,0.6470588235294118,2.22841628959276,37.79638009049774,0.4419164226776684
30,50,1.8,1100,0.5854545454545454,2.517209090909091,37.75363636363636,0.4737115041322315
30,70,1.8,731,0.600547195622435,2.418221614227086,37.7154582763338,0.4522562088176343
60,80,1.7,644,0.6490683229813664,2.216614906832298,37.63043478260869,0.4387345202731374
50,70,1.7,828,0.6328502415458938,2.2981884057971014,37.621980676328505,0.454409087726668
30,60,1.8,923,0.590465872156013,2.4877789815817986,37.510292524377036,0.46894858609109447
70,50,2.0,411,0.5790754257907542,2.4791484184914845,37.44038929440389,0.43561392603643134
70,60,2.0,411,0.5790754257907542,2.4791484184914845,37.44038929440389,0.43561392603643134
70,70,2.0,411,0.5790754257907542,2.4791484184914845,37.44038929440389,0.43561392603643134
60,70,2.0,493,0.5679513184584178,2.5505273833671396,37.342799188640974,0.44857539014766545
50,70,1.8,703,0.6031294452347084,2.396927453769559,37.24039829302988,0.44565752545987625
70,80,2.0,375,0.584,2.4385866666666667,37.016,0.42413461333333324
30,80,1.8,568,0.6091549295774648,2.3490140845070417,36.99647887323943,0.4309135092243599
70,80,1.7,613,0.6492659053833605,2.19905383360522,36.872756933115824,0.4277706782624431
60,50,1.7,862,0.6310904872389791,2.2898375870069607,36.81322505800464,0.44509471848235105
60,60,1.7,862,0.6310904872389791,2.2898375870069607,36.81322505800464,0.44509471848235105
60,70,2.2,369,0.5338753387533876,2.710271002710027,36.76422764227642,0.4469468496852991
60,70,1.7,789,0.6337135614702155,2.2788846641318123,36.665399239543724,0.44416011668682676
70,60,2.2,298,0.5436241610738255,2.6327516778523488,36.58389261744966,0.43122742218818955
70,70,2.2,298,0.5436241610738255,2.6327516778523488,36.58389261744966,0.43122742218818955
70,50,2.2,298,0.5436241610738255,2.6327516778523488,36.58389261744966,0.43122742218818955
70,70,1.7,673,0.6419019316493314,2.2240564635958395,36.42644873699851,0.4276261400793504
70,60,1.7,673,0.6419019316493314,2.2240564635958395,36.42644873699851,0.4276261400793504
70,50,1.7,673,0.6419019316493314,2.2240564635958395,36.42644873699851,0.4276261400793504
60,50,1.8,729,0.6008230452674898,2.389670781893004,36.3758573388203,0.435769276363698
60,60,1.8,729,0.6008230452674898,2.389670781893004,36.3758573388203,0.435769276363698
50,80,1.8,556,0.6115107913669064,2.321906474820144,36.35971223021583,0.41987086589721034
