gap_min,dom_min,odds_min,kelly_cap,bets,win_rate,avg_odds,roi,profit,bankroll
30.0,50.0,2.0,0.04,828,0.5458937198067633,2.7252777777777775,31.55,122270671.82,122271671.82
30.0,60.0,2.0,0.04,683,0.5563689604685212,2.700278184480234,36.1,21783767.01,21784767.01
50.0,50.0,2.0,0.04,675,0.5585185185185185,2.6449925925925926,37.27,20336448.55,20337448.55
50.0,60.0,2.0,0.04,632,0.5617088607594937,2.6434493670886074,39.83,11506649.46,11507649.46
30.0,50.0,2.0,0.03,828,0.5458937198067633,2.7252777777777775,33.14,8358697.51,8359697.51
30.0,70.0,2.0,0.04,548,0.5656934306569343,2.597244525547445,48.92,2651472.38,2652472.38
30.0,60.0,2.0,0.03,683,0.5563689604685212,2.700278184480234,37.29,2181882.09,2182882.09
50.0,50.0,2.0,0.03,675,0.5585185185185185,2.6449925925925926,38.09,2043306.93,2044306.93
50.0,50.0,2.2,0.04,521,0.5239923224568138,2.813013435700576,29.99,1925060.93,1926060.93
30.0,60.0,2.2,0.04,532,0.5169172932330827,2.8774624060150376,27.44,1747217.33,1748217.33
50.0,60.0,2.0,0.03,632,0.5617088607594937,2.6434493670886074,40.26,1321476.86,1322476.86
50.0,60.0,2.2,0.04,489,0.523517382413088,2.8092024539877296,30.36,1061310.22,1062310.22
30.0,50.0,2.0,0.02,828,0.5458937198067633,2.7252777777777775,35.02,476974.04,477974.04
30.0,80.0,2.0,0.04,423,0.5791962174940898,2.5096926713947987,55.83,428535.26,429535.26
30.0,70.0,2.0,0.03,548,0.5656934306569343,2.597244525547445,48.11,425484.9,426484.9
50.0,50.0,2.2,0.03,521,0.5239923224568138,2.813013435700576,32.14,338092.48,339092.48
30.0,60.0,2.2,0.03,532,0.5169172932330827,2.8774624060150376,29.87,318575.47,319575.47
50.0,60.0,2.2,0.03,489,0.523517382413088,2.8092024539877296,32.33,213614.46,214614.46
30.0,60.0,2.0,0.02,683,0.5563689604685212,2.700278184480234,38.4,188948.19,189948.19
50.0,50.0,2.0,0.02,675,0.5585185185185185,2.6449925925925926,38.81,180175.36,181175.36
50.0,60.0,2.0,0.02,632,0.5617088607594937,2.6434493670886074,40.39,133332.17,134332.17
30.0,80.0,2.0,0.03,423,0.5791962174940898,2.5096926713947987,52.51,103817.04,104817.04
30.0,80.0,2.2,0.04,309,0.5469255663430421,2.6686084142394817,49.68,80038.17,81038.17
30.0,70.0,2.0,0.02,548,0.5656934306569343,2.597244525547445,46.11,60983.45,61983.45
50.0,50.0,2.2,0.02,521,0.5239923224568138,2.813013435700576,34.56,52966.47,53966.47
30.0,60.0,2.2,0.02,532,0.5169172932330827,2.8774624060150376,32.65,51054.52,52054.52
50.0,60.0,2.2,0.02,489,0.523517382413088,2.8092024539877296,34.51,38481.14,39481.14
30.0,80.0,2.2,0.03,309,0.5469255663430421,2.6686084142394817,47.87,28329.0,29329.0
30.0,80.0,2.0,0.02,423,0.5791962174940898,2.5096926713947987,48.19,22717.43,23717.43
30.0,80.0,2.2,0.02,309,0.5469255663430421,2.6686084142394817,45.43,9055.1,10055.1
