gap_min,dom_min,odds_min,bets,win_rate,avg_odds,flat_roi,flat10_bank,flat10_pnl,flat20_bank,flat20_pnl,flat50_bank,flat50_pnl,kelly1_bank,kelly1_pnl,kelly1_roi,kelly2_bank,kelly2_pnl,kelly2_roi,kelly3_bank,kelly3_pnl,kelly3_roi,kelly4_bank,kelly4_pnl,kelly4_roi,kelly6_bank,kelly6_pnl,kelly6_roi,kelly8_bank,kelly8_pnl,kelly8_roi,kelly10_bank,kelly10_pnl,kelly10_roi
80,80,2.2,103,0.6407766990291263,2.4834951456310677,56.34951456310681,1580.4,580.4,2160.8,1160.8,3902.0,2902.0,1771.03,771.03,55.29,3082.27,2082.27,53.99,5273.26,4273.26,52.52,8871.23,7871.23,50.94,24138.83,23138.83,48.39,57510.11,56510.11,46.04,115666.99,114666.99,43.54
80,70,2.2,103,0.6407766990291263,2.4834951456310677,56.34951456310681,1580.4,580.4,2160.8,1160.8,3902.0,2902.0,1771.03,771.03,55.29,3082.27,2082.27,53.99,5273.26,4273.26,52.52,8871.23,7871.23,50.94,24138.83,23138.83,48.39,57510.11,56510.11,46.04,115666.99,114666.99,43.54
80,60,2.2,103,0.6407766990291263,2.4834951456310677,56.34951456310681,1580.4,580.4,2160.8,1160.8,3902.0,2902.0,1771.03,771.03,55.29,3082.27,2082.27,53.99,5273.26,4273.26,52.52,8871.23,7871.23,50.94,24138.83,23138.83,48.39,57510.11,56510.11,46.04,115666.99,114666.99,43.54
80,50,2.2,103,0.6407766990291263,2.4834951456310677,56.34951456310681,1580.4,580.4,2160.8,1160.8,3902.0,2902.0,1771.03,771.03,55.29,3082.27,2082.27,53.99,5273.26,4273.26,52.52,8871.23,7871.23,50.94,24138.83,23138.83,48.39,57510.11,56510.11,46.04,115666.99,114666.99,43.54
70,50,2.2,154,0.6168831168831169,2.5893506493506493,54.27922077922078,1835.9,835.9,2671.8,1671.8,5179.5,4179.5,2274.88,1274.88,51.2,5034.41,4034.41,48.21,10844.5,9844.5,45.42,22749.14,21749.14,42.87,93988.7,92988.7,39.16,311743.96,310743.96,37.4,726059.84,725059.84,35.32
70,60,2.2,154,0.6168831168831169,2.5893506493506493,54.27922077922078,1835.9,835.9,2671.8,1671.8,5179.5,4179.5,2274.88,1274.88,51.2,5034.41,4034.41,48.21,10844.5,9844.5,45.42,22749.14,21749.14,42.87,93988.7,92988.7,39.16,311743.96,310743.96,37.4,726059.84,725059.84,35.32
70,70,2.2,154,0.6168831168831169,2.5893506493506493,54.27922077922078,1835.9,835.9,2671.8,1671.8,5179.5,4179.5,2274.88,1274.88,51.2,5034.41,4034.41,48.21,10844.5,9844.5,45.42,22749.14,21749.14,42.87,93988.7,92988.7,39.16,311743.96,310743.96,37.4,726059.84,725059.84,35.32
70,80,2.2,140,0.6214285714285714,2.5528571428571425,54.207142857142856,1758.9,758.9,2517.8,1517.8,4794.5,3794.5,2109.42,1109.42,51.17,4341.4,3341.4,48.2,8721.88,7721.88,45.39,17111.96,16111.96,42.76,62348.72,61348.72,38.83,186409.58,185409.58,36.88,415593.9,414593.9,34.82
60,80,2.2,152,0.6118421052631579,2.5863815789473685,51.86842105263159,1788.4,788.4,2576.8,1576.8,4942.0,3942.0,2170.46,1170.46,49.87,4587.43,3587.43,47.72,9446.57,8446.57,45.52,18961.5,17961.5,43.33,71913.31,70913.31,39.91,219684.28,218684.28,38.23,469707.61,468707.61,36.06
50,80,2.2,158,0.6012658227848101,2.600506329113924,49.49367088607594,1782.0,782.0,2564.0,1564.0,4910.0,3910.0,2155.55,1155.55,47.41,4520.14,3520.14,45.32,9225.95,8225.95,43.28,18337.78,17337.78,41.33,67232.63,66232.63,38.37,195455.58,194455.58,36.99,398160.19,397160.19,34.92
80,80,2.0,162,0.6481481481481481,2.333395061728395,49.35802469135802,1799.6,799.6,2599.2,1599.2,4998.0,3998.0,2197.92,1197.92,49.78,4716.68,3716.68,50.0,9938.34,8938.34,50.18,20366.33,19366.33,50.01,77908.17,76908.17,50.07,237084.34,236084.34,50.1,548022.73,547022.73,48.94
80,70,2.0,162,0.6481481481481481,2.333395061728395,49.35802469135802,1799.6,799.6,2599.2,1599.2,4998.0,3998.0,2197.92,1197.92,49.78,4716.68,3716.68,50.0,9938.34,8938.34,50.18,20366.33,19366.33,50.01,77908.17,76908.17,50.07,237084.34,236084.34,50.1,548022.73,547022.73,48.94
80,50,2.0,162,0.6481481481481481,2.333395061728395,49.35802469135802,1799.6,799.6,2599.2,1599.2,4998.0,3998.0,2197.92,1197.92,49.78,4716.68,3716.68,50.0,9938.34,8938.34,50.18,20366.33,19366.33,50.01,77908.17,76908.17,50.07,237084.34,236084.34,50.1,548022.73,547022.73,48.94
80,60,2.0,162,0.6481481481481481,2.333395061728395,49.35802469135802,1799.6,799.6,2599.2,1599.2,4998.0,3998.0,2197.92,1197.92,49.78,4716.68,3716.68,50.0,9938.34,8938.34,50.18,20366.33,19366.33,50.01,77908.17,76908.17,50.07,237084.34,236084.34,50.1,548022.73,547022.73,48.94
70,50,2.0,220,0.6318181818181818,2.4327727272727273,49.35,2085.7,1085.7,3171.4,2171.4,6428.5,5428.5,2909.91,1909.91,48.41,8178.58,7178.58,47.54,22332.24,21332.24,46.81,58695.48,57695.48,45.95,360434.52,359434.52,44.91,1604787.84,1603787.84,45.05,4422122.14,4421122.14,43.65
70,70,2.0,220,0.6318181818181818,2.4327727272727273,49.35,2085.7,1085.7,3171.4,2171.4,6428.5,5428.5,2909.91,1909.91,48.41,8178.58,7178.58,47.54,22332.24,21332.24,46.81,58695.48,57695.48,45.95,360434.52,359434.52,44.91,1604787.84,1603787.84,45.05,4422122.14,4421122.14,43.65
70,60,2.0,220,0.6318181818181818,2.4327727272727273,49.35,2085.7,1085.7,3171.4,2171.4,6428.5,5428.5,2909.91,1909.91,48.41,8178.58,7178.58,47.54,22332.24,21332.24,46.81,58695.48,57695.48,45.95,360434.52,359434.52,44.91,1604787.84,1603787.84,45.05,4422122.14,4421122.14,43.65
40,80,2.2,163,0.5950920245398773,2.645337423312884,49.30674846625766,1803.7,803.7,2607.4,1607.4,5018.5,4018.5,2200.87,1200.87,47.54,4704.1,3704.1,45.74,9770.27,8770.27,43.95,19730.0,18730.0,42.18,74332.24,73332.24,39.41,220805.8,219805.8,38.12,448251.25,447251.25,35.97
50,50,2.2,275,0.56,2.795090909090909,48.65454545454546,2338.0,1338.0,3676.0,2676.0,7690.0,6690.0,3703.7,2703.7,41.19,12965.94,11965.94,35.08,42964.93,41964.93,30.27,134936.04,133936.04,26.46,1141747.16,1140747.16,21.06,6040069.02,6039069.02,17.74,17903299.09,17902299.09,15.7
70,80,2.0,204,0.6323529411764706,2.401127450980392,48.455882352941174,1988.5,988.5,2977.0,1977.0,5942.5,4942.5,2644.58,1644.58,47.35,6776.24,5776.24,46.34,16920.19,15920.19,45.48,40788.61,39788.61,44.52,212556.86,211556.86,43.36,821480.74,820480.74,43.46,2104886.88,2103886.88,42.27
50,60,2.2,259,0.5598455598455598,2.80015444015444,48.22779922779923,2249.1,1249.1,3498.2,2498.2,7245.5,6245.5,3394.98,2394.98,41.54,10934.41,9934.41,35.85,33453.35,32453.35,31.25,97339.76,96339.76,27.52,719868.32,718868.32,22.15,3450256.96,3449256.96,18.6,9529330.26,9528330.26,16.14
