ws_gap,odds_min,odds_max,ev_min,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
120,2.2,2.5,0.1,5,0.6,39.6,8,0.5,16.875,28.2375
120,2.2,2.5,0.08,5,0.6,39.6,8,0.5,16.875,28.2375
120,2.2,2.5,0.05,5,0.6,39.6,8,0.5,16.875,28.2375
120,2.2,2.5,0.03,5,0.6,39.6,8,0.5,16.875,28.2375
120,2.2,2.5,0.0,5,0.6,39.6,8,0.5,16.875,28.2375
90,2.2,2.5,0.1,32,0.53125,22.750000000000004,40,0.55,27.625,25.1875
90,2.2,2.5,0.08,32,0.53125,22.750000000000004,40,0.55,27.625,25.1875
90,2.2,2.5,0.05,32,0.53125,22.750000000000004,40,0.55,27.625,25.1875
90,2.2,2.5,0.03,32,0.53125,22.750000000000004,40,0.55,27.625,25.1875
90,2.2,2.5,0.0,32,0.53125,22.750000000000004,40,0.55,27.625,25.1875
80,2.2,2.5,0.1,42,0.5476190476190477,28.16666666666666,52,0.5192307692307693,21.211538461538467,24.689102564102562
80,2.2,2.5,0.05,42,0.5476190476190477,28.16666666666666,52,0.5192307692307693,21.211538461538467,24.689102564102562
80,2.2,2.5,0.08,42,0.5476190476190477,28.16666666666666,52,0.5192307692307693,21.211538461538467,24.689102564102562
80,2.2,2.5,0.03,42,0.5476190476190477,28.16666666666666,52,0.5192307692307693,21.211538461538467,24.689102564102562
80,2.2,2.5,0.0,42,0.5476190476190477,28.16666666666666,52,0.5192307692307693,21.211538461538467,24.689102564102562
120,2.2,2.8,0.05,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,2.8,0.0,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,2.8,0.03,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,4.0,0.1,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,2.8,0.08,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,3.0,0.1,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,4.0,0.08,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,4.0,0.05,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
120,2.2,4.0,0.03,5,0.6,39.6,9,0.4444444444444444,3.8888888888888897,21.744444444444447
