date,league,side,actual,won,odds,model_prob,mkt_prob,ev,fold
2025-01-04 15:30:00,Primeira Liga,home,draw,False,1.91,0.6784151744737544,0.5223880597014926,0.2986804768497584,Fold1 (2H 2024-25)
2025-01-05 14:00:00,Ligue 1,home,home,True,1.93,0.674716406602955,0.5190138736400838,0.29999686110673185,Fold1 (2H 2024-25)
2025-01-05 18:00:00,Primeira Liga,home,draw,False,2.24,0.538472911164721,0.4454368932038835,0.2088646436348356,Fold1 (2H 2024-25)
2025-01-05 20:30:00,Primeira Liga,home,away,False,2.44,0.582993950436083,0.40930979133226325,0.42433423969286155,Fold1 (2H 2024-25)
2025-01-06 20:15:00,Primeira Liga,home,draw,False,2.24,0.6079066155213152,0.4454368932038835,0.36474240188961327,Fold1 (2H 2024-25)
2025-01-10 18:00:00,Ligue 1,away,draw,False,1.83,0.7051746591474819,0.5477819635580841,0.2873272689868487,Fold1 (2H 2024-25)
2025-01-10 19:45:00,Bundesliga,away,away,True,2.38,0.6619677288960761,0.41946833463643474,0.5781113238734041,Fold1 (2H 2024-25)
2025-01-10 19:45:00,Serie A,home,draw,False,2.02,0.7123263029616775,0.4942630185348632,0.4411887522421083,Fold1 (2H 2024-25)
2025-01-11 13:00:00,La Liga,away,away,True,2.5,0.6411883677485484,0.4007285974499089,0.6000564267906958,Fold1 (2H 2024-25)
2025-01-11 14:30:00,Bundesliga,away,away,True,2.27,0.7735228159080082,0.44134505158578524,0.7526486660010887,Fold1 (2H 2024-25)
2025-01-11 14:30:00,Bundesliga,home,away,False,2.39,0.5131804034748786,0.417910447761194,0.22796739402917376,Fold1 (2H 2024-25)
2025-01-11 14:30:00,Bundesliga,home,home,True,1.74,0.7161790408516739,0.5738880918220947,0.247941978684042,Fold1 (2H 2024-25)
2025-01-11 15:15:00,La Liga,away,home,False,1.84,0.7361806737744706,0.5420741468672235,0.358081137108337,Fold1 (2H 2024-25)
2025-01-11 17:30:00,La Liga,home,draw,False,2.27,0.6264459561161284,0.441351150705271,0.419382174749243,Fold1 (2H 2024-25)
2025-01-11 20:00:00,La Liga,home,draw,False,2.32,0.5923061359214978,0.4317656129529684,0.3718233183753261,Fold1 (2H 2024-25)
2025-01-12 11:30:00,Serie A,home,home,True,2.12,0.602817367007168,0.4719471947194719,0.27729833708511853,Fold1 (2H 2024-25)
2025-01-12 16:15:00,Ligue 1,home,away,False,2.26,0.6124931529656524,0.44155844155844154,0.3871168464222128,Fold1 (2H 2024-25)
2025-01-12 16:30:00,Bundesliga,away,away,True,2.02,0.6319792562424075,0.49533204157125243,0.27586992805410615,Fold1 (2H 2024-25)
2025-01-13 20:00:00,La Liga,home,home,True,2.2,0.5748003381642522,0.4537346711259755,0.2668204013104034,Fold1 (2H 2024-25)
2025-01-15 19:30:00,Bundesliga,home,draw,False,1.79,0.7231242321227817,0.5579074690051407,0.2961364962764439,Fold1 (2H 2024-25)
2025-01-15 19:30:00,Bundesliga,home,home,True,1.95,0.6303197343920811,0.5129935875801552,0.22870879802877386,Fold1 (2H 2024-25)
2025-01-17 20:05:00,Ligue 1,home,home,True,2.06,0.5908279677023319,0.48611111111111116,0.21541753355908266,Fold1 (2H 2024-25)
2025-01-18 13:00:00,La Liga,home,away,False,2.01,0.6109460866964869,0.4972144846796657,0.2287375076976963,Fold1 (2H 2024-25)
2025-01-18 14:30:00,Bundesliga,home,home,True,1.65,0.7448916035156911,0.6048853824355068,0.2314590915000525,Fold1 (2H 2024-25)
2025-01-18 18:00:00,Ligue 1,home,away,False,2.02,0.608748365621471,0.4959022086400889,0.22755727846189644,Fold1 (2H 2024-25)
