date,league,side,actual,won,odds,model_prob,ev
2025-01-04 14:00:00,Serie A,home,draw,False,2.5,0.609513834691317,0.5237845867282926
2025-01-04 17:00:00,Serie A,away,away,True,2.45,0.5867250568603251,0.4374763893077964
2025-01-04 20:30:00,Primeira Liga,away,away,True,2.1,0.621320265352647,0.30477255724055863
2025-01-05 11:30:00,Serie A,home,away,False,2.5,0.4834969134158628,0.20874228353965707
2025-01-05 17:00:00,Serie A,home,draw,False,1.85,0.6638432107058423,0.2281099398058084
2025-01-05 18:00:00,Primeira Liga,home,draw,False,2.1,0.6032317574965692,0.2667866907427954
2025-01-05 19:45:00,Serie A,home,home,True,2.5,0.5995345114711103,0.4988362786777756
2025-01-06 20:15:00,Primeira Liga,home,draw,False,2.1,0.5954388401059888,0.25042156422257644
2025-01-10 18:00:00,Ligue 1,away,draw,False,1.73,0.7084171995052538,0.22556175514408916
2025-01-10 19:45:00,Bundesliga,away,away,True,2.25,0.6056639690965048,0.3627439304671358
2025-01-10 19:45:00,Serie A,home,draw,False,1.91,0.6285579064698181,0.20054560135735255
2025-01-11 14:30:00,Bundesliga,away,away,True,2.15,0.621320265352647,0.335838570508191
2025-01-11 14:30:00,Bundesliga,home,away,False,2.25,0.5905228455483228,0.3286764024837263
2025-01-11 20:00:00,La Liga,home,draw,False,2.2,0.5958644388287823,0.31090176542332104
2025-01-12 11:30:00,Serie A,home,home,True,2.0,0.6816435912089287,0.3632871824178574
2025-01-12 16:30:00,Bundesliga,away,away,True,1.91,0.7271249232367784,0.38880860338224665
2025-01-15 19:30:00,Bundesliga,home,away,False,2.1,0.6567417813046998,0.37915774073986963
2025-01-15 19:30:00,Bundesliga,home,draw,False,1.7,0.7060455303449018,0.20027740158633311
2025-01-15 19:30:00,Bundesliga,home,home,True,1.85,0.658531632550751,0.2182835202188893
2025-01-17 20:00:00,La Liga,home,home,True,1.73,0.6996729777055818,0.21043425143065653
2025-01-18 14:30:00,Bundesliga,away,away,True,2.45,0.560423251577903,0.37303696636586237
2025-01-18 17:30:00,La Liga,home,away,False,1.75,0.773422657509304,0.3534896506412819
2025-01-18 18:00:00,Ligue 1,home,away,False,1.91,0.6709001271836383,0.28141924292074916
2025-01-18 19:45:00,Serie A,home,away,False,2.35,0.562035307884733,0.32078297352912255
2025-01-18 20:05:00,Ligue 1,home,draw,False,1.8,0.7370280885557795,0.3266505594004032
2025-01-19 14:00:00,Serie A,home,home,True,2.1,0.5879984151515706,0.23479667181829833
2025-01-19 14:00:00,Ligue 1,away,draw,False,2.45,0.49572930052361713,0.214536786282862
2025-01-19 14:30:00,Bundesliga,home,home,True,2.5,0.674678655860791,0.6866966396519776
2025-01-19 17:30:00,La Liga,home,draw,False,2.3,0.5694270279101675,0.3096821641933851
2025-01-20 19:45:00,Serie A,home,home,True,2.15,0.677666625924168,0.45698324573696114
2025-01-20 20:00:00,La Liga,home,home,True,1.57,0.800498970119702,0.256783383087932
2025-01-20 20:15:00,Primeira Liga,away,away,True,2.0,0.621320265352647,0.2426405307052939
2025-01-24 20:00:00,La Liga,home,draw,False,2.45,0.5229085178401046,0.2811258687082563
2025-01-24 20:15:00,Primeira Liga,home,home,True,2.3,0.6270810173926598,0.4422863400031174
2025-01-25 13:00:00,La Liga,home,away,False,2.15,0.6180927623419903,0.3288994390352791
2025-01-25 15:30:00,Primeira Liga,home,away,False,2.3,0.6001481326081569,0.3803407049987608
2025-01-26 14:00:00,Serie A,away,away,True,2.25,0.5613550259252515,0.2630488083318161
2025-01-26 15:30:00,Primeira Liga,away,home,False,1.83,0.7133369886532753,0.30540668923549386
2025-01-27 19:45:00,Serie A,home,home,True,2.25,0.547765135573089,0.23247155503945027
2025-01-31 19:30:00,Bundesliga,home,home,True,2.25,0.5918066151033493,0.33156488398253603
2025-01-31 19:45:00,Ligue 1,away,away,True,1.83,0.6751619795791788,0.2355464226298971
2025-01-31 20:00:00,La Liga,away,away,True,2.38,0.5645481634973984,0.3436246291238083
2025-02-01 13:00:00,La Liga,home,draw,False,2.4,0.5420075777508014,0.3008181866019235
2025-02-01 14:30:00,Bundesliga,home,away,False,1.6,0.7899013223037111,0.26384211568593785
2025-02-01 14:30:00,Bundesliga,home,draw,False,2.1,0.5954855227111172,0.2505195976933461
2025-02-01 15:30:00,Primeira Liga,home,away,False,2.3,0.5729544880251304,0.31779532245779984
2025-02-02 15:15:00,La Liga,home,home,True,2.25,0.7389018882883572,0.6625292486488037
2025-02-02 16:15:00,Ligue 1,home,home,True,2.0,0.7029972334383151,0.4059944668766302
2025-02-02 19:45:00,Ligue 1,home,home,True,2.0,0.621754525206201,0.243509050412402
2025-02-07 18:00:00,Ligue 1,home,away,False,2.4,0.5673573601057115,0.3616576642537075
2025-02-08 14:30:00,Bundesliga,home,away,False,2.25,0.5339293800403709,0.2013411050908347
2025-02-08 17:30:00,La Liga,away,away,True,1.62,0.7949806853886899,0.28786871032967776
2025-02-08 19:45:00,Serie A,home,draw,False,2.3,0.57324148895019,0.31845542458543696
2025-02-09 13:00:00,La Liga,home,away,False,2.35,0.5585195599883565,0.3125209659726378
2025-02-09 14:00:00,Serie A,home,home,True,1.9,0.7222556541263128,0.37228574283999416
2025-02-10 20:00:00,La Liga,home,draw,False,2.2,0.5637150110860374,0.24017302438928234
2025-02-10 20:15:00,Primeira Liga,home,draw,False,2.0,0.61248664725803,0.22497329451606007
2025-02-14 19:45:00,Ligue 1,home,draw,False,2.25,0.6604667758332877,0.4860502456248974
2025-02-14 19:45:00,Serie A,home,home,True,1.75,0.6917173587222845,0.2105053777639978
2025-02-14 20:00:00,La Liga,home,away,False,1.95,0.6164084200614558,0.20199641911983868
